num_tiles,noise,digital_losses,digital_accuracies,analog_losses,analog_accuracies
1,0.0,"[0.3208785951137543, 0.33811241388320923, 0.5719613432884216, 0.3444325029850006, 0.3609107732772827]","[0.8746666666666667, 0.8693333333333333, 0.7403333333333333, 0.8596666666666667, 0.8546666666666667]","[0.483639397919178, 0.4927850544452667, 0.7899116289615631, 0.5840290778875351, 0.5611019709706306]","[0.7962333333333332, 0.8080366666666666, 0.70537, 0.7725266666666666, 0.78793]"
1,0.04,"[0.3098291754722595, 0.35943281650543213, 0.3666588068008423, 0.4606805741786957, 0.3497920632362366]","[0.8903333333333333, 0.8743333333333333, 0.8463333333333334, 0.796, 0.8676666666666667]","[0.5838772433996201, 0.668064975142479, 0.6444508844614029, 0.7696360272169113, 0.8472343796491623]","[0.7923966666666666, 0.7471000000000001, 0.7559833333333333, 0.7298833333333331, 0.7057166666666665]"
1,0.08,"[0.39518001675605774, 0.40505626797676086, 0.44806355237960815, 0.41267329454421997, 0.438664048910141]","[0.832, 0.837, 0.8046666666666666, 0.8206666666666667, 0.808]","[1.2777609097957612, 0.8118337070941926, 0.9283767658472061, 1.2026863086223603, 1.4226580095291137]","[0.64118, 0.7030366666666668, 0.67514, 0.6463833333333332, 0.61632]"
1,0.12,"[0.6646656394004822, 0.6161231994628906, 0.5224059820175171, 0.632811427116394, 0.5844452381134033]","[0.727, 0.697, 0.782, 0.7036666666666667, 0.6856666666666666]","[3.718762104511261, 1.5502269816398622, 1.3930730020999909, 1.078629970550537, 0.992152281999588]","[0.5114233333333333, 0.5821433333333335, 0.5976866666666667, 0.6162833333333334, 0.58974]"
1,0.16,"[nan, 0.6023110151290894, 0.6506498456001282, nan, 0.7006518840789795]","[0.3333333333333333, 0.7153333333333334, 0.7093333333333334, 0.3333333333333333, 0.7036666666666667]","[nan, 1.4157726681232452, 1.6706702566146852, nan, 1.4137799870967864]","[0.3333333333333334, 0.5516833333333334, 0.5498766666666666, 0.3333333333333334, 0.5566866666666668]"
1,0.2,"[nan, nan, nan, 0.9708728790283203, 0.9069126844406128]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.6303333333333333]","[nan, nan, nan, 1.4239577090740203, 1.4827106130123138]","[0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.4956733333333333, 0.5012666666666667]"
16,0.0,"[0.43228664994239807, 0.3844781816005707, 0.3190729022026062, 0.4439208209514618, 0.5287740230560303]","[0.843, 0.8623333333333333, 0.8746666666666667, 0.8016666666666666, 0.7263333333333334]","[0.5135448855161667, 0.47624306738376615, 0.39502079963684084, 0.5495013129711152, 0.6316149705648422]","[0.8014733333333333, 0.8218133333333334, 0.84289, 0.7643233333333335, 0.7008900000000001]"
16,0.04,"[0.3697493374347687, 0.3825443387031555, 0.3727441132068634, 0.38288822770118713, 0.36792105436325073]","[0.865, 0.8346666666666667, 0.851, 0.8563333333333333, 0.8633333333333333]","[0.5346678459644317, 0.5183416390419007, 0.5306946048140526, 0.5201647648215294, 0.5376753243803978]","[0.7823033333333334, 0.7839333333333331, 0.7945766666666667, 0.7860699999999998, 0.7936133333333334]"
16,0.08,"[0.462046355009079, 0.4659274220466614, 0.4640581011772156, 0.4203285276889801, 0.4353400766849518]","[0.812, 0.792, 0.7936666666666666, 0.8263333333333334, 0.817]","[0.7839560621976852, 0.8217422342300416, 0.7315653550624848, 0.6941672736406326, 0.7458989328145981]","[0.69611, 0.6812300000000002, 0.7095033333333335, 0.7225166666666667, 0.7155833333333335]"
16,0.12,"[0.5513532161712646, 0.514267086982727, 0.5239181518554688, 0.5408549308776855, 0.5154787302017212]","[0.7433333333333333, 0.7943333333333333, 0.7653333333333333, 0.764, 0.8013333333333333]","[1.1295643222332001, 1.0160524541139602, 1.052147726416588, 0.9888746082782746, 0.9306310427188873]","[0.6037899999999999, 0.62992, 0.6289766666666666, 0.6332433333333334, 0.6422599999999999]"
16,0.16,"[0.6743884086608887, 0.6733128428459167, nan, nan, 0.67244952917099]","[0.6783333333333333, 0.6986666666666667, 0.3333333333333333, 0.3333333333333333, 0.6676666666666666]","[1.4626020658016206, 1.3584306049346924, nan, nan, 1.2980656576156617]","[0.5421866666666666, 0.5538666666666666, 0.3333333333333334, 0.3333333333333334, 0.5461433333333334]"
16,0.2,"[0.9105641841888428, nan, 0.8875249028205872, 0.8024964332580566, nan]","[0.6026666666666667, 0.3333333333333333, 0.5906666666666667, 0.6246666666666667, 0.3333333333333333]","[1.778672637939453, nan, 1.6895482969284057, 1.6289416933059693, nan]","[0.5003266666666666, 0.3333333333333334, 0.5223133333333333, 0.51291, 0.3333333333333334]"
64,0.0,"[0.3703075349330902, 0.38173624873161316, 0.4159584641456604, 0.3823830485343933, 0.38789457082748413]","[0.8653333333333333, 0.8493333333333334, 0.861, 0.8513333333333334, 0.872]","[0.42854743748903273, 0.4435924246907234, 0.488640683889389, 0.43568323493003847, 0.4541852289438248]","[0.8330866666666669, 0.8148033333333333, 0.82452, 0.82395, 0.8297]"
64,0.04,"[0.4016096591949463, 0.4045904278755188, 0.44034427404403687, 0.4430929720401764, 0.36757710576057434]","[0.8466666666666667, 0.8496666666666667, 0.816, 0.7946666666666666, 0.8663333333333333]","[0.5412026038765907, 0.5527018004655838, 0.5680511808395385, 0.5644220054149628, 0.5092018359899521]","[0.7817099999999999, 0.7901666666666667, 0.7570633333333333, 0.7553133333333334, 0.7987333333333335]"
64,0.08,"[0.5124362111091614, 0.4277767241001129, 0.42139458656311035, 0.46035832166671753, 0.47186556458473206]","[0.741, 0.819, 0.8426666666666667, 0.79, 0.8183333333333334]","[0.8246074622869491, 0.7116335076093674, 0.7286096560955048, 0.7059329754114151, 0.7226545971632004]","[0.6764033333333331, 0.7122033333333334, 0.71447, 0.7117100000000002, 0.7011600000000001]"
64,0.12,"[0.5522922873497009, 0.5896866917610168, 0.5294667482376099, 0.5731984972953796, 0.5545593500137329]","[0.7563333333333333, 0.7076666666666667, 0.768, 0.7363333333333333, 0.746]","[0.9768350595235824, 1.0408292293548584, 0.9914101779460907, 0.971953609585762, 1.0482540851831437]","[0.6349733333333333, 0.6240133333333334, 0.6283566666666667, 0.6188033333333334, 0.6151666666666668]"
64,0.16,"[nan, nan, nan, nan, nan]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[nan, nan, nan, nan, nan]","[0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334]"
64,0.2,"[0.831041157245636, nan, 0.976171612739563, nan, nan]","[0.6523333333333333, 0.3333333333333333, 0.54, 0.3333333333333333, 0.3333333333333333]","[1.930934842824936, nan, 1.3275784933567047, nan, nan]","[0.49736333333333327, 0.3333333333333334, 0.4839333333333332, 0.3333333333333334, 0.3333333333333334]"
