num_tiles,noise,digital_losses,digital_accuracies,analog_losses,analog_accuracies
1,0.0,"[0.3789505958557129, 0.34637027978897095, 0.3020336925983429, 0.4962899088859558, 0.32455670833587646, 0.4599534571170807, 0.30865100026130676, 0.39583149552345276, 0.30373191833496094, 0.29664403200149536]","[0.846, 0.8756666666666667, 0.8866666666666667, 0.7923333333333333, 0.8823333333333333, 0.8033333333333333, 0.8813333333333333, 0.8453333333333334, 0.889, 0.877]","[np.float64(0.5346518269181252), np.float64(0.4538665500283241), np.float64(0.45937625944614413), np.float64(0.9615445423126221), np.float64(0.47345056146383285), np.float64(0.8702533155679703), np.float64(0.46253773480653765), np.float64(0.626655747294426), np.float64(0.48329871624708176), np.float64(0.5178886190056801)]","[np.float64(0.7807766666666666), np.float64(0.8172999999999999), np.float64(0.82883), np.float64(0.6376033333333333), np.float64(0.8093266666666666), np.float64(0.7330666666666665), np.float64(0.8236866666666666), np.float64(0.7412666666666665), np.float64(0.8176200000000001), np.float64(0.79515)]"
1,0.04,"[0.31359174847602844, 0.351780503988266, 0.39349156618118286, 0.46584224700927734, 0.30625593662261963, 0.295901358127594, 0.7050347328186035, 0.29783934354782104, 0.6002850532531738, 0.3165907859802246]","[0.89, 0.8673333333333333, 0.8416666666666667, 0.8183333333333334, 0.879, 0.8936666666666667, 0.759, 0.8876666666666667, 0.7566666666666667, 0.8736666666666667]","[np.float64(0.6011230087280274), np.float64(0.6183524763584137), np.float64(1.1209161603450775), np.float64(1.9504687094688415), np.float64(0.6364545780420303), np.float64(0.49319717854261397), np.float64(3.363586468696594), np.float64(0.5290203866362572), np.float64(1.6927662980556488), np.float64(0.6448174542188645)]","[np.float64(0.7776900000000001), np.float64(0.7660266666666666), np.float64(0.6733233333333335), np.float64(0.5726366666666667), np.float64(0.7586433333333334), np.float64(0.8163066666666667), np.float64(0.5228866666666666), np.float64(0.79998), np.float64(0.6042466666666667), np.float64(0.7647066666666666)]"
1,0.08,"[0.4925972521305084, 0.40411853790283203, 0.4202364981174469, 0.38359391689300537, 0.42005300521850586, 0.39850112795829773, 0.41114476323127747, 0.42296531796455383, 0.40186405181884766, 0.49023184180259705]","[0.7926666666666666, 0.8143333333333334, 0.8326666666666667, 0.8503333333333334, 0.8026666666666666, 0.8383333333333334, 0.8283333333333334, 0.8126666666666666, 0.8276666666666667, 0.781]","[np.float64(2.374050953388214), np.float64(0.8314277452230453), np.float64(0.7538410568237305), np.float64(0.8142467111349105), np.float64(0.7965111893415451), np.float64(0.8096846979856491), np.float64(1.2983116734027862), np.float64(0.7224684888124466), np.float64(0.7394396138191223), np.float64(1.3956866943836213)]","[np.float64(0.5669166666666666), np.float64(0.6946266666666666), np.float64(0.7093166666666667), np.float64(0.6956866666666667), np.float64(0.6854000000000002), np.float64(0.7073266666666669), np.float64(0.6330966666666666), np.float64(0.7080766666666666), np.float64(0.7130833333333334), np.float64(0.6180399999999999)]"
1,0.12,"[0.7174798250198364, 0.5286102294921875, 0.5018954873085022, 0.5472158193588257, nan, 0.5609318614006042, 0.5249912142753601, 0.5162555575370789, 0.5380755066871643, 0.5421989560127258]","[0.7383333333333333, 0.7403333333333333, 0.7713333333333333, 0.7683333333333333, 0.3333333333333333, 0.714, 0.744, 0.7473333333333333, 0.7446666666666667, 0.746]","[np.float64(3.0996471548080446), np.float64(1.1579255640506745), np.float64(1.67854642868042), np.float64(1.019264509677887), np.float64(nan), np.float64(1.0871255671977997), np.float64(1.0638819301128388), np.float64(1.1516330182552337), np.float64(1.23615070104599), np.float64(1.4634116113185882)]","[np.float64(0.5419666666666667), np.float64(0.6109233333333334), np.float64(0.5792133333333332), np.float64(0.6245166666666667), np.float64(0.3333333333333334), np.float64(0.6265066666666668), np.float64(0.6127533333333333), np.float64(0.6011833333333334), np.float64(0.5986066666666666), np.float64(0.5873366666666666)]"
1,0.16,"[0.7903892993927002, 0.6491738557815552, nan, 0.7945712804794312, 0.6424911022186279, nan, 0.6404482126235962, nan, 0.7327703237533569, 0.6136260032653809]","[0.6143333333333333, 0.7086666666666667, 0.3333333333333333, 0.5916666666666667, 0.6833333333333333, 0.3333333333333333, 0.6896666666666667, 0.3333333333333333, 0.689, 0.7226666666666667]","[np.float64(1.1104798245429992), np.float64(1.322399196624756), np.float64(nan), np.float64(1.120100623369217), np.float64(1.4710066986083985), np.float64(nan), np.float64(1.5854582250118257), np.float64(nan), np.float64(2.3323718094825745), np.float64(1.321129869222641)]","[np.float64(0.5184066666666667), np.float64(0.5665966666666667), np.float64(0.3333333333333334), np.float64(0.5162966666666666), np.float64(0.5548500000000001), np.float64(0.3333333333333334), np.float64(0.5496233333333334), np.float64(0.3333333333333334), np.float64(0.5252699999999999), np.float64(0.5576666666666666)]"
1,0.2,"[0.9146242737770081, 0.9560574293136597, nan, 0.9390827417373657, nan, nan, nan, 0.9641398191452026, nan, 0.9632201194763184]","[0.5236666666666666, 0.5303333333333333, 0.3333333333333333, 0.5303333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5033333333333333, 0.3333333333333333, 0.5966666666666667]","[np.float64(1.2469944429397584), np.float64(1.3059760630130768), np.float64(nan), np.float64(1.2920970487594605), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(1.1887961745262146), np.float64(nan), np.float64(1.5597403466701507)]","[np.float64(0.46475), np.float64(0.46259333333333336), np.float64(0.3333333333333334), np.float64(0.4665233333333334), np.float64(0.3333333333333334), np.float64(0.3333333333333334), np.float64(0.3333333333333334), np.float64(0.45435000000000003), np.float64(0.3333333333333334), np.float64(0.48423666666666676)]"
16,0.0,"[0.526826024055481, 0.5449555516242981, 0.47537052631378174, 0.5443726181983948, 0.5812360644340515, 0.4873616397380829, 0.5633865594863892, 0.5120607614517212, 0.4921831786632538, 0.5326851606369019]","[0.817, 0.7916666666666666, 0.8206666666666667, 0.8006666666666666, 0.7333333333333333, 0.8136666666666666, 0.7606666666666667, 0.7846666666666666, 0.7783333333333333, 0.7716666666666666]","[np.float64(0.5891521316766739), np.float64(0.5928068614006042), np.float64(0.532511328458786), np.float64(0.611133262515068), np.float64(0.6593863421678543), np.float64(0.5552579772472381), np.float64(0.6070091581344604), np.float64(0.5615279042720794), np.float64(0.5316661715507507), np.float64(0.5788582909107208)]","[np.float64(0.76802), np.float64(0.7556933333333333), np.float64(0.7890699999999998), np.float64(0.76247), np.float64(0.69517), np.float64(0.7832866666666665), np.float64(0.7275433333333333), np.float64(0.7677266666666667), np.float64(0.7564866666666665), np.float64(0.75074)]"
16,0.04,"[0.5361192226409912, 0.4946502149105072, 0.48148688673973083, 0.4879680871963501, 0.5124703645706177, 0.5209275484085083, 0.4677349925041199, 0.46826687455177307, 0.5238119959831238, 0.45414629578590393]","[0.7723333333333333, 0.8146666666666667, 0.7953333333333333, 0.806, 0.7796666666666666, 0.775, 0.797, 0.811, 0.7913333333333333, 0.8203333333333334]","[np.float64(0.6437860935926437), np.float64(0.6044205904006958), np.float64(0.6021053850650787), np.float64(0.5947745770215989), np.float64(0.618130863904953), np.float64(0.6367113226652146), np.float64(0.5928400439023972), np.float64(0.5860310715436935), np.float64(0.6176598864793778), np.float64(0.5744509381055832)]","[np.float64(0.7158133333333335), np.float64(0.7364933333333334), np.float64(0.7301866666666667), np.float64(0.7371866666666665), np.float64(0.72357), np.float64(0.71053), np.float64(0.7406199999999998), np.float64(0.74773), np.float64(0.7271799999999999), np.float64(0.7555433333333333)]"
16,0.08,"[0.5338641405105591, 0.5091888308525085, 0.5051994323730469, 0.5020663142204285, 0.5379770994186401, 0.493338018655777, 0.48779597878456116, 0.5390685796737671, 0.502021849155426, 0.5116833448410034]","[0.7536666666666667, 0.755, 0.7853333333333333, 0.7883333333333333, 0.7676666666666667, 0.7876666666666666, 0.81, 0.7413333333333333, 0.77, 0.79]","[np.float64(0.7715011781454086), np.float64(0.7130280286073685), np.float64(0.7149352395534515), np.float64(0.7477869272232056), np.float64(0.7087534469366074), np.float64(0.7729927450418472), np.float64(0.7263216888904571), np.float64(0.7159900456666947), np.float64(0.7172723978757858), np.float64(0.7306701618432999)]","[np.float64(0.6584266666666666), np.float64(0.6877666666666665), np.float64(0.6962200000000002), np.float64(0.6810333333333333), np.float64(0.67691), np.float64(0.6866733333333334), np.float64(0.694), np.float64(0.6585433333333333), np.float64(0.6843066666666666), np.float64(0.6815566666666666)]"
16,0.12,"[0.59816974401474, 0.5731592774391174, 0.6266955137252808, 0.609096109867096, 0.6924676895141602, 0.5856764912605286, 0.5722640156745911, 0.5817039608955383, 0.5824573636054993, 0.5669963955879211]","[0.6906666666666667, 0.711, 0.7133333333333334, 0.7113333333333334, 0.6483333333333333, 0.7466666666666667, 0.7476666666666667, 0.7303333333333333, 0.727, 0.737]","[np.float64(0.9517668056488037), np.float64(0.9339101022481918), np.float64(1.04054037630558), np.float64(0.9730763810873032), np.float64(0.9465955191850662), np.float64(0.9095565545558929), np.float64(0.9602651691436768), np.float64(0.9583037513494491), np.float64(0.9353674030303956), np.float64(0.969530268907547)]","[np.float64(0.59), np.float64(0.6007966666666668), np.float64(0.6052866666666668), np.float64(0.6101233333333334), np.float64(0.5527866666666666), np.float64(0.6270399999999999), np.float64(0.61275), np.float64(0.60676), np.float64(0.6308766666666666), np.float64(0.6286133333333332)]"
16,0.16,"[0.7144941687583923, nan, 0.8890742063522339, 0.7794131636619568, 0.7733854055404663, 0.6823959946632385, 0.8408223986625671, 0.828679621219635, nan, 0.8877331614494324]","[0.6583333333333333, 0.3333333333333333, 0.5416666666666666, 0.6173333333333333, 0.662, 0.6876666666666666, 0.581, 0.6093333333333333, 0.3333333333333333, 0.5123333333333333]","[np.float64(1.1961828291416168), np.float64(nan), np.float64(1.1697206902503967), np.float64(1.1278615748882295), np.float64(1.3713243448734282), np.float64(1.3225116050243377), np.float64(1.078834125995636), np.float64(1.116548945903778), np.float64(nan), np.float64(1.1543944334983827)]","[np.float64(0.5455533333333333), np.float64(0.3333333333333334), np.float64(0.4980966666666666), np.float64(0.5207566666666666), np.float64(0.5379799999999999), np.float64(0.5443633333333334), np.float64(0.4997933333333333), np.float64(0.5374399999999999), np.float64(0.3333333333333334), np.float64(0.47251333333333334)]"
16,0.2,"[0.9705981612205505, 0.9848383665084839, 1.0005137920379639, 0.8834941983222961, nan, 0.9176295399665833, 0.9002470970153809, 0.9267996549606323, 0.949375569820404, 0.9643794894218445]","[0.504, 0.4806666666666667, 0.5083333333333333, 0.5613333333333334, 0.3333333333333333, 0.582, 0.531, 0.5393333333333333, 0.49233333333333335, 0.49933333333333335]","[np.float64(1.2534259855747223), np.float64(1.3000561201572418), np.float64(1.3311889910697936), np.float64(1.5577405178546906), np.float64(nan), np.float64(1.3914970254898071), np.float64(1.3388014495372773), np.float64(1.253082492351532), np.float64(1.3233163928985596), np.float64(1.3152632200717926)]","[np.float64(0.44600333333333336), np.float64(0.44364333333333333), np.float64(0.4612866666666667), np.float64(0.4640366666666667), np.float64(0.3333333333333334), np.float64(0.4734133333333333), np.float64(0.45186), np.float64(0.4528566666666667), np.float64(0.45345333333333326), np.float64(0.46468000000000004)]"
64,0.0,"[0.5773369669914246, 0.5564765334129333, 0.48971617221832275, 0.5659261345863342, 0.4763910174369812, 0.5520825982093811, 0.5097280144691467, 0.5377392768859863, 0.549746036529541, 0.5579878091812134]","[0.8, 0.7586666666666667, 0.7623333333333333, 0.756, 0.794, 0.7766666666666666, 0.7936666666666666, 0.782, 0.758, 0.7633333333333333]","[np.float64(0.6238713526725769), np.float64(0.5927887284755706), np.float64(0.522842526435852), np.float64(0.6046157789230346), np.float64(0.515160051882267), np.float64(0.596903166770935), np.float64(0.5553061980009079), np.float64(0.5743850523233414), np.float64(0.5904255771636963), np.float64(0.5856603449583053)]","[np.float64(0.7464499999999998), np.float64(0.7299533333333333), np.float64(0.7422233333333333), np.float64(0.7468133333333334), np.float64(0.7729700000000002), np.float64(0.75529), np.float64(0.7572866666666667), np.float64(0.7621733333333335), np.float64(0.7135900000000001), np.float64(0.7447999999999999)]"
64,0.04,"[0.5100990533828735, 0.5325419306755066, 0.4920010268688202, 0.4751633405685425, 0.49367597699165344, 0.507476270198822, 0.510974109172821, 0.4981423020362854, 0.4935983121395111, 0.4791369140148163]","[0.815, 0.766, 0.784, 0.799, 0.7956666666666666, 0.7623333333333333, 0.7626666666666667, 0.8173333333333334, 0.784, 0.7993333333333333]","[np.float64(0.5859961450099945), np.float64(0.5991033065319061), np.float64(0.5678568750619888), np.float64(0.5592219257354736), np.float64(0.5806070530414581), np.float64(0.5855655151605607), np.float64(0.5926809936761857), np.float64(0.5691259604692459), np.float64(0.5716934555768967), np.float64(0.5468682128190995)]","[np.float64(0.7633866666666665), np.float64(0.7209699999999999), np.float64(0.74164), np.float64(0.7571466666666664), np.float64(0.74372), np.float64(0.7307366666666668), np.float64(0.7297966666666666), np.float64(0.76068), np.float64(0.7425933333333332), np.float64(0.7670033333333331)]"
64,0.08,"[0.5898768305778503, 0.5501298308372498, 0.5485316514968872, 0.5295018553733826, 0.5351237654685974, 0.5402074456214905, 0.522174060344696, 0.5512300729751587, 0.5856781601905823, 0.5783081650733948]","[0.736, 0.7346666666666667, 0.7563333333333333, 0.7846666666666666, 0.7473333333333333, 0.7546666666666667, 0.77, 0.7486666666666667, 0.692, 0.7116666666666667]","[np.float64(0.7523211491107941), np.float64(0.7421600806713105), np.float64(0.7245525312423706), np.float64(0.7184635871648788), np.float64(0.7106894123554229), np.float64(0.7228489661216736), np.float64(0.7139416927099228), np.float64(0.7268490314483642), np.float64(0.7561077153682709), np.float64(0.7542456126213074)]","[np.float64(0.6585399999999999), np.float64(0.6692199999999999), np.float64(0.6720199999999998), np.float64(0.67876), np.float64(0.6819566666666667), np.float64(0.6775066666666666), np.float64(0.6883766666666666), np.float64(0.6633366666666667), np.float64(0.6464433333333333), np.float64(0.6557266666666668)]"
64,0.12,"[0.7315366864204407, 0.6939892768859863, 0.6573589444160461, 0.683448076248169, 0.7028554677963257, 0.7781053185462952, 0.6394014358520508, 0.7565357089042664, 0.7333046197891235, 0.6587555408477783]","[0.6033333333333334, 0.6953333333333334, 0.691, 0.712, 0.6673333333333333, 0.6316666666666667, 0.6843333333333333, 0.6513333333333333, 0.659, 0.6966666666666667]","[np.float64(0.9395105385780335), np.float64(0.9710290533304214), np.float64(0.9937846964597702), np.float64(0.9310912305116653), np.float64(0.9811054003238678), np.float64(0.9976071381568908), np.float64(1.0284728437662125), np.float64(0.9801044678688049), np.float64(1.0037825310230255), np.float64(0.9418760758638381)]","[np.float64(0.5337299999999999), np.float64(0.58071), np.float64(0.58622), np.float64(0.57892), np.float64(0.5764166666666667), np.float64(0.5625866666666667), np.float64(0.56321), np.float64(0.5708466666666667), np.float64(0.5868166666666667), np.float64(0.5732966666666666)]"
64,0.16,"[0.8057584762573242, 0.8904673457145691, 0.9213802218437195, 0.9209372401237488, 0.9131662845611572, 0.9204518795013428, 0.9320899844169617, 0.839434802532196, 0.9181074500083923, 0.953066885471344]","[0.6333333333333333, 0.5373333333333333, 0.519, 0.493, 0.509, 0.5153333333333333, 0.5226666666666666, 0.5833333333333334, 0.491, 0.5006666666666667]","[np.float64(1.2206256949901582), np.float64(1.2716814267635346), np.float64(1.1305080032348633), np.float64(1.065248553752899), np.float64(1.121829000711441), np.float64(1.2443609619140625), np.float64(1.097633833885193), np.float64(1.217459478378296), np.float64(1.1085172045230864), np.float64(1.1292091143131255)]","[np.float64(0.4958633333333334), np.float64(0.4794566666666666), np.float64(0.4631733333333334), np.float64(0.4479333333333333), np.float64(0.4467266666666667), np.float64(0.47589), np.float64(0.4450333333333332), np.float64(0.49069), np.float64(0.4453133333333333), np.float64(0.44611000000000006)]"
64,0.2,"[0.9944732189178467, 1.1554077863693237, 1.0104261636734009, 1.0012149810791016, 1.0282697677612305, 1.0152448415756226, 1.001033067703247, 1.020928978919983, 1.0732002258300781, 1.0081071853637695]","[0.44466666666666665, 0.407, 0.423, 0.42833333333333334, 0.4106666666666667, 0.41533333333333333, 0.4493333333333333, 0.43633333333333335, 0.39466666666666667, 0.467]","[np.float64(1.1661724042892456), np.float64(1.3197550249099732), np.float64(1.2161842024326324), np.float64(1.1260987281799317), np.float64(1.1523851084709167), np.float64(1.188060394525528), np.float64(1.1430072784423828), np.float64(1.2276007270812987), np.float64(1.1586836111545562), np.float64(1.138964329957962)]","[np.float64(0.40456000000000003), np.float64(0.4121366666666667), np.float64(0.39660666666666666), np.float64(0.3964833333333334), np.float64(0.4000533333333333), np.float64(0.4032266666666666), np.float64(0.4118266666666666), np.float64(0.41303999999999985), np.float64(0.41888000000000014), np.float64(0.4137166666666666)]"
