num_tiles,noise,digital_losses,digital_accuracies,analog_losses,analog_accuracies
1,0.0,"[0.34715136885643005, 0.2982114255428314, 0.30617108941078186, 0.42442119121551514, 0.29325664043426514, 0.4991791546344757, 0.376010000705719, 0.40217000246047974, 0.31894582509994507, 0.31178581714630127]","[0.8686666666666667, 0.886, 0.8833333333333333, 0.823, 0.8883333333333333, 0.7733333333333333, 0.8446666666666667, 0.8436666666666667, 0.8706666666666667, 0.8786666666666667]","[np.float64(0.48606498569250106), np.float64(0.4777969443798065), np.float64(0.5339718464016915), np.float64(0.5314294940233231), np.float64(0.4828699174523354), np.float64(0.5675933429598808), np.float64(0.5395171135663986), np.float64(0.59069311439991), np.float64(0.49639686435461045), np.float64(0.5027739951014518)]","[np.float64(0.8139366666666668), np.float64(0.8102766666666666), np.float64(0.8174566666666668), np.float64(0.7523833333333333), np.float64(0.8117333333333334), np.float64(0.7614700000000002), np.float64(0.7907133333333333), np.float64(0.7335166666666666), np.float64(0.7956600000000001), np.float64(0.7927266666666667)]"
1,0.04,"[0.2965802848339081, 0.34020256996154785, 0.3669482469558716, 0.32892611622810364, 0.35197627544403076, 0.42687320709228516, 0.6636045575141907, 0.36365070939064026, 0.3922325372695923, 0.32335472106933594]","[0.8923333333333333, 0.866, 0.861, 0.867, 0.8613333333333333, 0.822, 0.7623333333333333, 0.852, 0.827, 0.882]","[np.float64(0.487709156870842), np.float64(0.7330835407972336), np.float64(0.7720563369989395), np.float64(0.66799775660038), np.float64(0.9744753992557526), np.float64(1.126678535938263), np.float64(3.559134705066681), np.float64(0.990267117023468), np.float64(1.4334973454475404), np.float64(0.6253658086061478)]","[np.float64(0.8236933333333332), np.float64(0.7280000000000001), np.float64(0.7243466666666665), np.float64(0.7449300000000001), np.float64(0.6954766666666667), np.float64(0.6612733333333333), np.float64(0.5246000000000001), np.float64(0.66807), np.float64(0.64527), np.float64(0.7717266666666667)]"
1,0.08,"[0.48449647426605225, 0.41219934821128845, 0.3823467195034027, 0.8552901744842529, 0.39068683981895447, 0.3967864513397217, 0.46259844303131104, 0.37107333540916443, 0.394187867641449, 0.40220582485198975]","[0.7923333333333333, 0.8236666666666667, 0.8396666666666667, 0.711, 0.832, 0.8293333333333334, 0.7923333333333333, 0.8416666666666667, 0.835, 0.8356666666666667]","[np.float64(2.3231322622299193), np.float64(1.0654839128255844), np.float64(0.9285311669111251), np.float64(3.9677277064323424), np.float64(0.7954454571008682), np.float64(0.7704683828353882), np.float64(1.7176543247699738), np.float64(0.826157865524292), np.float64(0.8028141766786575), np.float64(0.7247327923774719)]","[np.float64(0.5758666666666666), np.float64(0.65625), np.float64(0.6793366666666668), np.float64(0.5179533333333335), np.float64(0.7016), np.float64(0.70927), np.float64(0.6161733333333334), np.float64(0.6995933333333335), np.float64(0.6929800000000002), np.float64(0.7180233333333333)]"
1,0.12,"[0.536357045173645, nan, 0.6576682925224304, nan, nan, nan, nan, 0.543943464756012, 0.4791789650917053, 0.5362536311149597]","[0.7656666666666667, 0.3333333333333333, 0.737, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.736, 0.7963333333333333, 0.7443333333333333]","[np.float64(2.0840745866298676), np.float64(nan), np.float64(3.183753135204315), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(1.1855247962474822), np.float64(1.3912292528152466), np.float64(1.0720150411128997)]","[np.float64(0.5591766666666667), np.float64(0.3333333333333334), np.float64(0.5227933333333333), np.float64(0.3333333333333334), np.float64(0.3333333333333334), np.float64(0.3333333333333334), np.float64(0.3333333333333334), np.float64(0.6076666666666666), np.float64(0.5952766666666668), np.float64(0.6232133333333333)]"
1,0.16,"[0.6563510894775391, 0.8249330520629883, 0.652864933013916, 0.7092218995094299, 0.8071110844612122, 0.6507063508033752, 0.6959217190742493, nan, nan, 0.6346344947814941]","[0.6506666666666666, 0.5506666666666666, 0.6993333333333334, 0.6616666666666666, 0.6773333333333333, 0.7233333333333334, 0.6843333333333333, 0.3333333333333333, 0.3333333333333333, 0.715]","[np.float64(1.2651727390289307), np.float64(1.0771248161792755), np.float64(2.0840333425998687), np.float64(1.267164920568466), np.float64(2.940631184577942), np.float64(1.5640409409999847), np.float64(1.4882744574546813), np.float64(nan), np.float64(nan), np.float64(1.7653658318519592)]","[np.float64(0.5485833333333334), np.float64(0.5010266666666667), np.float64(0.5441166666666667), np.float64(0.53374), np.float64(0.5107266666666667), np.float64(0.55231), np.float64(0.5414866666666668), np.float64(0.3333333333333334), np.float64(0.3333333333333334), np.float64(0.53945)]"
1,0.2,"[0.8484429717063904, 0.8205592632293701, nan, nan, nan, 0.8254129886627197, nan, 0.9553704261779785, nan, 0.9039514064788818]","[0.6483333333333333, 0.6096666666666667, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.613, 0.3333333333333333, 0.5303333333333333, 0.3333333333333333, 0.5603333333333333]","[np.float64(1.6629103755950927), np.float64(1.7253642201423645), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(1.6655798661708832), np.float64(nan), np.float64(1.331876096725464), np.float64(nan), np.float64(1.2865007793903351)]","[np.float64(0.52628), np.float64(0.51234), np.float64(0.3333333333333334), np.float64(0.3333333333333334), np.float64(0.3333333333333334), np.float64(0.49574666666666667), np.float64(0.3333333333333334), np.float64(0.47055666666666673), np.float64(0.3333333333333334), np.float64(0.48663666666666666)]"
16,0.0,"[0.47939565777778625, 0.5214076638221741, 0.5012615323066711, 0.5483289957046509, 0.5378514528274536, 0.5346924066543579, 0.5991979837417603, 0.49751016497612, 0.5154892802238464, 0.5774919986724854]","[0.8053333333333333, 0.753, 0.7816666666666666, 0.768, 0.7833333333333333, 0.7946666666666666, 0.7173333333333334, 0.8146666666666667, 0.7643333333333333, 0.769]","[np.float64(0.5325075340270996), np.float64(0.5975061142444611), np.float64(0.5551639246940613), np.float64(0.5972350442409515), np.float64(0.5775147598981857), np.float64(0.5891991877555847), np.float64(0.6385856556892395), np.float64(0.5757860708236694), np.float64(0.5818676567077636), np.float64(0.6237093782424927)]","[np.float64(0.7801666666666667), np.float64(0.7208766666666665), np.float64(0.7569066666666666), np.float64(0.7497366666666666), np.float64(0.7459233333333332), np.float64(0.7526833333333333), np.float64(0.7061933333333333), np.float64(0.7760633333333334), np.float64(0.7352333333333334), np.float64(0.7419766666666666)]"
16,0.04,"[0.4873208701610565, 0.5153331160545349, 0.5057929158210754, 0.4899059534072876, 0.5155246257781982, 0.4639439284801483, 0.5345849394798279, 0.5417580008506775, 0.5653687119483948, 0.5328180193901062]","[0.8003333333333333, 0.8123333333333334, 0.7803333333333333, 0.8083333333333333, 0.8086666666666666, 0.81, 0.746, 0.748, 0.7493333333333333, 0.7706666666666667]","[np.float64(0.5841543865203858), np.float64(0.6235252273082733), np.float64(0.6073830473423004), np.float64(0.6039056253433227), np.float64(0.6054083919525146), np.float64(0.5789709097146988), np.float64(0.6518799269199371), np.float64(0.659720653295517), np.float64(0.6683507823944091), np.float64(0.6314447522163391)]","[np.float64(0.7538566666666666), np.float64(0.7423633333333334), np.float64(0.7198766666666667), np.float64(0.7422166666666667), np.float64(0.7436199999999998), np.float64(0.7485999999999998), np.float64(0.7008099999999999), np.float64(0.7078566666666667), np.float64(0.6869333333333332), np.float64(0.7178733333333334)]"
16,0.08,"[0.5251749753952026, 0.5015455484390259, 0.5020852088928223, 0.5597833395004272, 0.48365357518196106, 0.5403016209602356, 0.525177001953125, 0.519830584526062, 0.5144188404083252, 0.5534082055091858]","[0.76, 0.7686666666666667, 0.7963333333333333, 0.7166666666666667, 0.7976666666666666, 0.763, 0.7556666666666667, 0.7946666666666666, 0.759, 0.734]","[np.float64(0.7105003553628921), np.float64(0.7003484481573105), np.float64(0.7117242789268494), np.float64(0.740800769329071), np.float64(0.7472977840900421), np.float64(0.7778067708015441), np.float64(0.7505232810974121), np.float64(0.7235841250419617), np.float64(0.7321276307106018), np.float64(0.7473778575658798)]","[np.float64(0.68514), np.float64(0.68674), np.float64(0.6943333333333334), np.float64(0.6486), np.float64(0.6885066666666666), np.float64(0.6710200000000001), np.float64(0.6742199999999998), np.float64(0.6824099999999999), np.float64(0.6706400000000002), np.float64(0.6785599999999999)]"
16,0.12,"[0.5771797895431519, 0.5972265005111694, 0.5767326951026917, 0.5664895176887512, 0.6229094862937927, 0.5452176332473755, 0.5597290992736816, 0.58613121509552, 0.5894727110862732, 0.621368408203125]","[0.75, 0.7436666666666667, 0.72, 0.7273333333333334, 0.7046666666666667, 0.7353333333333333, 0.7623333333333333, 0.7263333333333334, 0.717, 0.6916666666666667]","[np.float64(0.9723045653104783), np.float64(0.9526038157939911), np.float64(0.932404620051384), np.float64(0.9327498209476471), np.float64(0.9743379348516464), np.float64(0.9171681958436966), np.float64(0.9391377437114715), np.float64(0.9235759168863297), np.float64(1.0059692680835723), np.float64(0.9492068231105805)]","[np.float64(0.6220633333333333), np.float64(0.61555), np.float64(0.61898), np.float64(0.6036866666666667), np.float64(0.6013000000000001), np.float64(0.6035366666666666), np.float64(0.61253), np.float64(0.6204033333333333), np.float64(0.6109833333333332), np.float64(0.5859333333333333)]"
