num_tiles,noise,digital_losses,digital_accuracies,analog_losses,analog_accuracies
1,0.0,"[0.3681480288505554, 0.4538910388946533, 0.3162115812301636, 0.3601634204387665, 0.34582144021987915, 0.3128005862236023, 0.3067489564418793, 0.3375284671783447, 0.34757497906684875, 0.32386311888694763]","[0.852, 0.7913333333333333, 0.8833333333333333, 0.852, 0.872, 0.8763333333333333, 0.8956666666666667, 0.8733333333333333, 0.8623333333333333, 0.8783333333333333]","[np.float64(0.565685606598854), np.float64(0.6137143164873123), np.float64(0.5128179478645325), np.float64(0.6537996125221253), np.float64(0.4852314740419388), np.float64(0.4177090099453926), np.float64(0.5117023655772209), np.float64(0.6718672463297843), np.float64(0.5336088293790817), np.float64(0.4436054226756096)]","[np.float64(0.78671), np.float64(0.73369), np.float64(0.8024766666666666), np.float64(0.7323400000000001), np.float64(0.8094133333333333), np.float64(0.83793), np.float64(0.8096766666666667), np.float64(0.7497133333333335), np.float64(0.7905966666666667), np.float64(0.8288666666666668)]"
1,0.04,"[0.3346211612224579, 0.3125166893005371, 0.39343884587287903, 0.3110520541667938, 0.42767342925071716, 0.3298083245754242, 0.323356568813324, 0.37328624725341797, 0.33287471532821655, 0.4567652940750122]","[0.861, 0.8693333333333333, 0.8293333333333334, 0.885, 0.819, 0.8743333333333333, 0.8826666666666667, 0.8573333333333333, 0.8763333333333333, 0.8093333333333333]","[np.float64(0.6088924831151963), np.float64(0.5880026677250862), np.float64(0.7172404736280441), np.float64(0.5132768121361733), np.float64(0.6482952743768692), np.float64(0.5802850526571274), np.float64(0.5705376702547074), np.float64(0.759634736776352), np.float64(0.7589928758144379), np.float64(1.3139774870872498)]","[np.float64(0.7658766666666665), np.float64(0.77679), np.float64(0.7264499999999999), np.float64(0.8098400000000002), np.float64(0.7506800000000001), np.float64(0.7854733333333332), np.float64(0.7885566666666668), np.float64(0.7346100000000001), np.float64(0.7401433333333333), np.float64(0.6400566666666667)]"
1,0.08,"[1.1317036151885986, 0.6228762865066528, 0.5651727914810181, 0.3972413241863251, 0.4238540828227997, 0.3885726034641266, 0.4062611758708954, 0.8074347376823425, 0.8021124601364136, 0.4075565040111542]","[0.683, 0.7713333333333333, 0.749, 0.8203333333333334, 0.8163333333333334, 0.8283333333333334, 0.829, 0.714, 0.7166666666666667, 0.832]","[np.float64(6.647855553627014), np.float64(3.113416757583618), np.float64(1.5297325825691224), np.float64(0.7743648082017899), np.float64(0.8352281445264816), np.float64(0.735777058005333), np.float64(1.1406058299541473), np.float64(5.014274258613586), np.float64(4.001862545013427), np.float64(0.8474177646636963)]","[np.float64(0.48479666666666665), np.float64(0.5451), np.float64(0.6075466666666667), np.float64(0.6955666666666666), np.float64(0.6967466666666668), np.float64(0.7208933333333333), np.float64(0.6514366666666667), np.float64(0.4959633333333333), np.float64(0.5177066666666668), np.float64(0.6975666666666666)]"
1,0.12,"[0.5073717832565308, 0.5137258768081665, 0.5298715829849243, nan, nan, 0.57010817527771, 0.496999591588974, nan, nan, 0.5491254329681396]","[0.756, 0.7436666666666667, 0.7456666666666667, 0.3333333333333333, 0.3333333333333333, 0.7603333333333333, 0.7763333333333333, 0.3333333333333333, 0.3333333333333333, 0.7266666666666667]","[np.float64(1.1956586635112763), np.float64(1.1883020174503327), np.float64(1.3168945217132568), np.float64(nan), np.float64(nan), np.float64(1.7235798132419586), np.float64(1.0892943859100341), np.float64(nan), np.float64(nan), np.float64(1.3454843354225159)]","[np.float64(0.6071333333333333), np.float64(0.6047433333333334), np.float64(0.5875733333333334), np.float64(0.3333333333333334), np.float64(0.3333333333333334), np.float64(0.5766100000000001), np.float64(0.6176766666666667), np.float64(0.3333333333333334), np.float64(0.3333333333333334), np.float64(0.5974833333333334)]"
1,0.16,"[0.6734927296638489, 0.7170916199684143, 0.7762988209724426, 0.6900092959403992, nan, 0.6981651186943054, 0.6580733060836792, 0.6442928314208984, 0.6591905355453491, 0.6571346521377563]","[0.6966666666666667, 0.6583333333333333, 0.588, 0.6933333333333334, 0.3333333333333333, 0.675, 0.7093333333333334, 0.709, 0.6566666666666666, 0.6863333333333334]","[np.float64(1.642251374721527), np.float64(1.4729472506046295), np.float64(1.1590201473236084), np.float64(1.3162931823730468), np.float64(nan), np.float64(1.2776157176494598), np.float64(2.038249884843826), np.float64(1.905929355621338), np.float64(1.2521296119689942), np.float64(1.6343735873699188)]","[np.float64(0.5362933333333334), np.float64(0.5338366666666666), np.float64(0.5124633333333333), np.float64(0.5568866666666668), np.float64(0.3333333333333334), np.float64(0.5583433333333333), np.float64(0.5360166666666667), np.float64(0.53317), np.float64(0.5378299999999999), np.float64(0.5413000000000001)]"
1,0.2,"[nan, nan, 0.9982518553733826, 0.9478351473808289, nan, nan, 0.9073277711868286, nan, nan, nan]","[0.3333333333333333, 0.3333333333333333, 0.488, 0.559, 0.3333333333333333, 0.3333333333333333, 0.6246666666666667, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[np.float64(nan), np.float64(nan), np.float64(1.2004777765274048), np.float64(1.3056160509586334), np.float64(nan), np.float64(nan), np.float64(3.1755483317375184), np.float64(nan), np.float64(nan), np.float64(nan)]","[np.float64(0.3333333333333334), np.float64(0.3333333333333334), np.float64(0.47314666666666666), np.float64(0.48968333333333336), np.float64(0.3333333333333334), np.float64(0.3333333333333334), np.float64(0.4887333333333333), np.float64(0.3333333333333334), np.float64(0.3333333333333334), np.float64(0.3333333333333334)]"
16,0.0,"[0.607808530330658, 0.5410231351852417, 0.5430552959442139, 0.5531842708587646, 0.5326405167579651, 0.5421644449234009, 0.5256891846656799, 0.5425689816474915, 0.5607144236564636, 0.5279214978218079]","[0.716, 0.7796666666666666, 0.8013333333333333, 0.7293333333333333, 0.7713333333333333, 0.7796666666666666, 0.7396666666666667, 0.7726666666666666, 0.7843333333333333, 0.7873333333333333]","[np.float64(0.6395951879024505), np.float64(0.6010125833749771), np.float64(0.6001710838079453), np.float64(0.6359702163934707), np.float64(0.589063817858696), np.float64(0.6011450779438019), np.float64(0.5972214692831039), np.float64(0.5956121653318405), np.float64(0.6033625972270965), np.float64(0.5794481825828552)]","[np.float64(0.7080466666666666), np.float64(0.7424599999999999), np.float64(0.7655466666666668), np.float64(0.7052733333333333), np.float64(0.7382033333333333), np.float64(0.7396133333333332), np.float64(0.71306), np.float64(0.7354933333333333), np.float64(0.7428466666666667), np.float64(0.7554099999999998)]"
16,0.04,"[0.4990314841270447, 0.5125019550323486, 0.4918452203273773, 0.5268378853797913, 0.44667261838912964, 0.5041990280151367, 0.49960148334503174, 0.47883373498916626, 0.47104552388191223, 0.48522889614105225]","[0.7976666666666666, 0.7906666666666666, 0.7746666666666666, 0.7986666666666666, 0.831, 0.8083333333333333, 0.7813333333333333, 0.7746666666666666, 0.799, 0.798]","[np.float64(0.6017179995775223), np.float64(0.6094014781713486), np.float64(0.5812383908033371), np.float64(0.6403991830348968), np.float64(0.5727286976575852), np.float64(0.6141032028198242), np.float64(0.611696794629097), np.float64(0.6019413566589356), np.float64(0.5834753161668778), np.float64(0.5836317425966263)]","[np.float64(0.7358266666666666), np.float64(0.7276), np.float64(0.7315999999999999), np.float64(0.73386), np.float64(0.7569933333333332), np.float64(0.7312033333333333), np.float64(0.7204333333333333), np.float64(0.7223466666666668), np.float64(0.7407133333333331), np.float64(0.7454466666666667)]"
16,0.08,"[0.510058581829071, 0.5600141286849976, 0.5088471174240112, 0.5174426436424255, 0.5073639154434204, 0.5362882614135742, 0.5566936731338501, 0.545537531375885, 0.5642665028572083, 0.503109335899353]","[0.7556666666666667, 0.737, 0.7786666666666666, 0.7726666666666666, 0.7733333333333333, 0.758, 0.7313333333333333, 0.7193333333333334, 0.7313333333333333, 0.785]","[np.float64(0.7061985856294632), np.float64(0.7294950246810913), np.float64(0.702091378569603), np.float64(0.7055221009254455), np.float64(0.689102098941803), np.float64(0.7167847806215286), np.float64(0.7400402921438217), np.float64(0.7496139132976531), np.float64(0.771044471859932), np.float64(0.7375229275226594)]","[np.float64(0.70227), np.float64(0.6584899999999999), np.float64(0.6882199999999998), np.float64(0.6850066666666669), np.float64(0.6790166666666667), np.float64(0.6819966666666667), np.float64(0.6617566666666668), np.float64(0.6694500000000001), np.float64(0.6566166666666667), np.float64(0.6745733333333334)]"
16,0.12,"[0.5731611847877502, 0.5753629803657532, 0.5639930963516235, 0.5977786779403687, 0.6088908910751343, 0.6871967911720276, 0.5864723920822144, 0.5621010065078735, 0.5525653958320618, 0.6048731803894043]","[0.7243333333333334, 0.722, 0.7356666666666667, 0.719, 0.7056666666666667, 0.663, 0.7103333333333334, 0.738, 0.7663333333333333, 0.6776666666666666]","[np.float64(0.968561692237854), np.float64(0.9658354097604751), np.float64(0.9702448320388793), np.float64(0.9752821147441864), np.float64(0.9739196276664734), np.float64(1.0055729746818542), np.float64(0.9667770910263062), np.float64(0.9206495988368988), np.float64(0.9998497718572616), np.float64(0.8945463770627975)]","[np.float64(0.6166966666666666), np.float64(0.6133866666666666), np.float64(0.6011966666666667), np.float64(0.60614), np.float64(0.60848), np.float64(0.5820266666666667), np.float64(0.6021033333333334), np.float64(0.6218966666666665), np.float64(0.6198400000000001), np.float64(0.59173)]"
