num_tiles,noise,digital_losses,digital_accuracies,analog_losses,analog_accuracies
1,0.0,"[0.432274729013443, 0.36023932695388794, 0.4078123867511749, 0.4444396495819092, 0.35377582907676697, 0.37718233466148376, 0.3450563848018646, 0.3681408762931824, 0.3933013379573822, 0.3766483962535858]","[0.8353333333333334, 0.8593333333333333, 0.825, 0.8023333333333333, 0.8656666666666667, 0.8653333333333333, 0.8803333333333333, 0.866, 0.8383333333333334, 0.8483333333333334]","[0.6711633461713791, 0.45395241141319276, 0.48700684249401094, 0.5548255103826523, 0.4353072506189346, 0.45493987649679185, 0.4385595068335533, 0.5108958226442337, 0.4586340197920799, 0.5951221752166748]","[0.7324833333333334, 0.8081300000000001, 0.7992066666666666, 0.76284, 0.8303433333333333, 0.8223666666666665, 0.8332233333333336, 0.8022966666666668, 0.8099266666666668, 0.7399733333333333]"
1,0.04,"[0.37168586254119873, 0.5606815814971924, 0.4232427477836609, 0.363493949174881, 0.7366045117378235, 0.38628044724464417, 0.5023231506347656, 0.38414061069488525, 0.38634663820266724, 0.40000680088996887]","[0.854, 0.769, 0.843, 0.8736666666666667, 0.7043333333333334, 0.8246666666666667, 0.7893333333333333, 0.867, 0.8503333333333334, 0.8306666666666667]","[0.5416854217648506, 1.4256778430938721, 0.5813744014501572, 0.52652264803648, 1.8990709245204926, 1.0359483647346497, 1.5204553925991058, 0.5538938510417938, 0.5679451143741607, 0.5855063086748123]","[0.7870199999999998, 0.6094466666666666, 0.7645533333333334, 0.7893566666666668, 0.6049266666666666, 0.6551966666666668, 0.6088533333333334, 0.7825766666666667, 0.77469, 0.7594033333333335]"
1,0.08,"[0.644943356513977, 0.9977632761001587, nan, 0.5511201620101929, 0.48747318983078003, 0.965555727481842, 0.4558716118335724, 0.5914719104766846, 0.5262446403503418, 0.5083975195884705]","[0.7456666666666667, 0.6423333333333333, 0.3333333333333333, 0.748, 0.8133333333333334, 0.69, 0.7923333333333333, 0.7203333333333334, 0.772, 0.7976666666666666]","[2.650577838420868, 5.673481097221375, nan, 2.0247913074493407, 0.922875611782074, 6.884843621253967, 1.0532045954465865, 0.9654979878664016, 1.3479845237731933, 0.7883987492322921]","[0.5577433333333334, 0.47254333333333337, 0.3333333333333334, 0.5643133333333333, 0.6397833333333334, 0.4793866666666667, 0.6596133333333333, 0.6255266666666666, 0.59268, 0.6604333333333332]"
1,0.12,"[nan, 0.5241416096687317, 0.6222244501113892, 0.6166055798530579, 0.6717628836631775, 0.6028358340263367, 0.5999165177345276, 0.6192969679832458, 0.6734701991081238, 0.8273693323135376]","[0.3333333333333333, 0.7706666666666667, 0.7046666666666667, 0.7196666666666667, 0.6756666666666666, 0.7186666666666667, 0.71, 0.7056666666666667, 0.6, 0.661]","[nan, 1.1407450222969056, 1.1531232929229736, 1.4508271670341493, 1.0742091095447541, 1.2983437716960906, 1.457113938331604, 1.1486433911323548, 1.0053599709272385, 4.6529681730270385]","[0.3333333333333334, 0.5883833333333333, 0.5767766666666667, 0.5460066666666666, 0.58839, 0.5675466666666665, 0.5434066666666667, 0.5614066666666667, 0.5532366666666667, 0.4812066666666667]"
1,0.16,"[0.7144632935523987, nan, 0.9244393110275269, 0.7980038523674011, 0.826851487159729, 0.8588952422142029, 0.7887738347053528, 0.7602659463882446, nan, nan]","[0.6603333333333333, 0.3333333333333333, 0.5246666666666666, 0.609, 0.5886666666666667, 0.548, 0.5773333333333334, 0.6246666666666667, 0.3333333333333333, 0.3333333333333333]","[2.0877575838565825, nan, 1.1081503891944886, 4.251226234436035, 1.1394160068035126, 1.1239100110530853, 1.136172057390213, 1.3794452047348023, nan, nan]","[0.5009266666666667, 0.3333333333333334, 0.47246333333333335, 0.44482666666666665, 0.4966799999999999, 0.4740733333333334, 0.5031033333333332, 0.48497, 0.3333333333333334, 0.3333333333333334]"
1,0.2,"[nan, 0.9510558247566223, 1.027723789215088, 0.8838405609130859, 0.9467957615852356, 0.9759628176689148, 0.9523321986198425, 0.933158278465271, nan, 0.9080995321273804]","[0.3333333333333333, 0.5943333333333334, 0.42433333333333334, 0.5986666666666667, 0.49133333333333334, 0.49833333333333335, 0.5416666666666666, 0.5036666666666667, 0.3333333333333333, 0.5176666666666667]","[nan, 3.798467848300934, 1.271004159450531, 3.864345109462738, 1.2018452715873718, 1.2460307252407075, 1.5615661025047303, 1.1992735469341278, nan, 1.2747863376140594]","[0.3333333333333334, 0.4351933333333334, 0.40739, 0.44777333333333325, 0.44201, 0.45099333333333336, 0.4479133333333333, 0.43937999999999994, 0.3333333333333334, 0.43756666666666666]"
16,0.0,"[0.4506378173828125, 0.4298734962940216, 0.4196453392505646, 0.43658292293548584, 0.4914494752883911, 0.4239341914653778, 0.45060762763023376, 0.3801780641078949, 0.40752720832824707, 0.4405224621295929]","[0.8566666666666667, 0.8133333333333334, 0.8553333333333333, 0.8273333333333334, 0.7786666666666666, 0.8543333333333333, 0.786, 0.871, 0.841, 0.8056666666666666]","[0.5140789768099785, 0.48166167855262754, 0.46426051437854765, 0.4845446041226387, 0.5395423918962479, 0.46576476335525513, 0.48290799140930174, 0.4219528818130493, 0.4617947897315025, 0.48132281213998795]","[0.8169033333333334, 0.7907066666666667, 0.8333133333333332, 0.7921766666666666, 0.7576866666666667, 0.8161866666666667, 0.7833066666666666, 0.8491299999999998, 0.8171766666666666, 0.7922433333333333]"
16,0.04,"[0.45241284370422363, 0.5108436942100525, 0.4420788586139679, 0.4404141902923584, 0.40661484003067017, 0.4568794071674347, 0.4400769770145416, 0.41561010479927063, 0.4869101047515869, 0.44411522150039673]","[0.8123333333333334, 0.7576666666666667, 0.8483333333333334, 0.8143333333333334, 0.835, 0.7876666666666666, 0.8026666666666666, 0.8363333333333334, 0.818, 0.8186666666666667]","[0.5644590055942535, 0.6398643529415131, 0.5472203379869461, 0.5647481358051301, 0.5441894870996475, 0.5640733724832535, 0.5802295231819152, 0.5093724656105042, 0.5975002562999725, 0.5774628567695618]","[0.7614, 0.7144466666666667, 0.7703766666666667, 0.7526100000000001, 0.7697366666666667, 0.7476433333333332, 0.7452266666666665, 0.7862366666666667, 0.76099, 0.7576133333333332]"
16,0.08,"[0.5640872120857239, 0.5287155508995056, 0.5512135624885559, 0.5457289814949036, 0.5763964653015137, 0.5206291079521179, 0.5107496380805969, 0.5876592397689819, 0.5266161561012268, 0.5151812434196472]","[0.7233333333333334, 0.7706666666666667, 0.7553333333333333, 0.753, 0.715, 0.7916666666666666, 0.7693333333333333, 0.7183333333333334, 0.7526666666666667, 0.8053333333333333]","[0.7880910992622375, 0.7815113067626953, 0.7677396893501282, 0.779587310552597, 0.8013365244865418, 0.7697543227672576, 0.7717350769042969, 0.7746036571264266, 0.7831946450471878, 0.7416903036832809]","[0.63292, 0.6762033333333332, 0.6567666666666666, 0.6607099999999998, 0.6545366666666667, 0.6566500000000002, 0.6578333333333333, 0.6482166666666668, 0.6589266666666665, 0.6891733333333333]"
16,0.12,"[0.6091585755348206, 0.73236483335495, 0.6104004383087158, 0.6886342763900757, 0.7264980673789978, 0.6727854013442993, 0.6638955473899841, 0.5819423198699951, 0.635631799697876, 0.6885749697685242]","[0.7253333333333334, 0.659, 0.7106666666666667, 0.6603333333333333, 0.6543333333333333, 0.669, 0.6753333333333333, 0.739, 0.7006666666666667, 0.6833333333333333]","[1.062496542930603, 1.1168602800369263, 1.021784889101982, 1.1013061237335204, 1.1404474675655365, 0.9888556313514709, 1.0784871411323547, 1.0041367131471635, 1.0736441242694854, 1.0793598401546478]","[0.5974066666666666, 0.54777, 0.5852099999999999, 0.5512433333333333, 0.54419, 0.5606533333333333, 0.5626066666666667, 0.60055, 0.5605466666666667, 0.5565933333333333]"
