num_tiles,noise,digital_losses,digital_accuracies,analog_losses,analog_accuracies
1,0.0,"[0.5978735089302063, 0.43852102756500244, 0.5310020446777344, 0.6547216176986694, 0.38898709416389465, 0.36618945002555847, 0.5538047552108765, 0.35113388299942017, 0.38257646560668945, 0.35152071714401245]","[0.765, 0.8323333333333334, 0.7616666666666667, 0.7066666666666667, 0.8306666666666667, 0.8453333333333334, 0.738, 0.8706666666666667, 0.8463333333333334, 0.8653333333333333]","[np.float64(1.0708764946460725), np.float64(0.6726360505819321), np.float64(0.9144466733932495), np.float64(2.200822843313217), np.float64(0.4578586521744728), np.float64(0.4421087896823883), np.float64(0.6742562270164489), np.float64(0.42113649666309355), np.float64(0.4636885640025139), np.float64(0.41930251985788347)]","[np.float64(0.6787099999999999), np.float64(0.7407633333333332), np.float64(0.6652366666666667), np.float64(0.5798066666666667), np.float64(0.8081866666666668), np.float64(0.8208900000000001), np.float64(0.7057866666666668), np.float64(0.8450733333333333), np.float64(0.7980833333333334), np.float64(0.84697)]"
1,0.04,"[0.39616382122039795, 0.8783431053161621, 0.3989205062389374, 0.4259509742259979, 0.4247567057609558, 0.38518983125686646, 0.3775693476200104, 0.4401363432407379, 0.4150017499923706, 0.39705878496170044]","[0.8413333333333334, 0.6586666666666666, 0.8493333333333334, 0.8173333333333334, 0.8206666666666667, 0.842, 0.8683333333333333, 0.798, 0.8503333333333334, 0.8456666666666667]","[np.float64(0.5987642550468445), np.float64(1.894859127998352), np.float64(0.564042650461197), np.float64(0.5956102377176284), np.float64(0.6952299100160598), np.float64(0.7264233243465423), np.float64(0.5520858836174011), np.float64(0.5911058455705642), np.float64(0.6541751933097839), np.float64(0.5716053324937821)]","[np.float64(0.7605533333333332), np.float64(0.5423966666666665), np.float64(0.7664233333333335), np.float64(0.7487299999999998), np.float64(0.7156), np.float64(0.7077666666666667), np.float64(0.7733199999999999), np.float64(0.7448999999999999), np.float64(0.7342400000000001), np.float64(0.7605833333333335)]"
1,0.08,"[0.6111352443695068, 0.5967142581939697, 0.47162100672721863, 0.5203261375427246, 0.4785642921924591, 0.44751977920532227, 0.48604491353034973, 0.572704017162323, 0.43408772349357605, 0.5670403838157654]","[0.777, 0.76, 0.8033333333333333, 0.7796666666666666, 0.7976666666666666, 0.7943333333333333, 0.793, 0.7393333333333333, 0.798, 0.73]","[np.float64(2.712507266998291), np.float64(3.6137236881256105), np.float64(0.8075655055046081), np.float64(2.047286471128464), np.float64(0.7747885215282441), np.float64(0.7921244645118714), np.float64(0.7733013844490051), np.float64(2.0067649245262147), np.float64(0.7468733996152878), np.float64(0.8176335817575455)]","[np.float64(0.5565300000000001), np.float64(0.5190100000000001), np.float64(0.6706033333333334), np.float64(0.5533633333333334), np.float64(0.6765466666666667), np.float64(0.6838233333333334), np.float64(0.6814766666666666), np.float64(0.5570233333333333), np.float64(0.6920333333333332), np.float64(0.6270266666666667)]"
1,0.12,"[0.6931050419807434, 0.6372763514518738, 0.7009360194206238, 0.5968520045280457, 0.6981345415115356, 0.5751888155937195, 0.6369737982749939, nan, nan, 0.6590023040771484]","[0.652, 0.7136666666666667, 0.6753333333333333, 0.692, 0.6693333333333333, 0.7116666666666667, 0.6863333333333334, 0.3333333333333333, 0.3333333333333333, 0.6603333333333333]","[np.float64(1.0994417297840118), np.float64(3.36426632642746), np.float64(1.1796865463256836), np.float64(1.0264201885461808), np.float64(1.0455038720369338), np.float64(1.0446360200643539), np.float64(1.0432412207126618), np.float64(nan), np.float64(nan), np.float64(1.166828111410141)]","[np.float64(0.5686133333333333), np.float64(0.49047333333333326), np.float64(0.5569533333333334), np.float64(0.59867), np.float64(0.5603333333333332), np.float64(0.60341), np.float64(0.5888), np.float64(0.3333333333333334), np.float64(0.3333333333333334), np.float64(0.5397099999999999)]"
1,0.16,"[0.7885169982910156, 0.8156194090843201, 0.7195414304733276, 0.8881040811538696, 0.8738004565238953, 0.8564540147781372, nan, 0.7829689979553223, nan, nan]","[0.6823333333333333, 0.6333333333333333, 0.6723333333333333, 0.5633333333333334, 0.5103333333333333, 0.553, 0.3333333333333333, 0.655, 0.3333333333333333, 0.3333333333333333]","[np.float64(3.621245307922363), np.float64(3.0847371196746827), np.float64(3.392819743156433), np.float64(1.0731594347953797), np.float64(1.074574877023697), np.float64(1.3785406982898711), np.float64(nan), np.float64(1.3993767416477203), np.float64(nan), np.float64(nan)]","[np.float64(0.48710000000000003), np.float64(0.4834066666666667), np.float64(0.47250666666666674), np.float64(0.45577000000000006), np.float64(0.4530533333333333), np.float64(0.48944000000000004), np.float64(0.3333333333333334), np.float64(0.5131466666666666), np.float64(0.3333333333333334), np.float64(0.3333333333333334)]"
1,0.2,"[1.1239604949951172, 0.8306084275245667, 0.9569084644317627, 0.9018416404724121, 1.0102360248565674, nan, 0.8707635998725891, 0.9482049345970154, 0.9112486839294434, 0.9679347276687622]","[0.5206666666666667, 0.6106666666666667, 0.56, 0.51, 0.409, 0.3333333333333333, 0.6226666666666667, 0.592, 0.504, 0.5066666666666667]","[np.float64(3.9817790150642396), np.float64(2.836804220676422), np.float64(1.9910993790626526), np.float64(1.339691183567047), np.float64(1.1852500641345978), np.float64(nan), np.float64(2.2319788551330566), np.float64(1.7474418330192565), np.float64(1.1929741144180297), np.float64(1.2111801981925965)]","[np.float64(0.43335), np.float64(0.45391), np.float64(0.4753433333333333), np.float64(0.43974333333333343), np.float64(0.40438), np.float64(0.3333333333333334), np.float64(0.46194666666666656), np.float64(0.468), np.float64(0.4499633333333334), np.float64(0.45144333333333336)]"
16,0.0,"[0.6412283778190613, 0.7801288962364197, 0.7000104188919067, 0.654571533203125, 0.6631959080696106, 0.5707083344459534, 0.6545597910881042, 0.6405688524246216, 0.667133092880249, 0.6547741889953613]","[0.69, 0.6276666666666667, 0.6943333333333334, 0.6956666666666667, 0.7333333333333333, 0.7913333333333333, 0.6723333333333333, 0.705, 0.6873333333333334, 0.7106666666666667]","[np.float64(0.6636515045166016), np.float64(0.7978149098157883), np.float64(0.7219017636775971), np.float64(0.6839400172233582), np.float64(0.6952651429176331), np.float64(0.6095303851366043), np.float64(0.6779472923278809), np.float64(0.6674041265249252), np.float64(0.7012992882728577), np.float64(0.6909296160936356)]","[np.float64(0.6874366666666667), np.float64(0.61184), np.float64(0.6847300000000002), np.float64(0.6752099999999999), np.float64(0.7043033333333334), np.float64(0.7619866666666667), np.float64(0.6712366666666667), np.float64(0.6799799999999999), np.float64(0.6769766666666667), np.float64(0.6890433333333332)]"
16,0.04,"[0.6465804576873779, 0.7994130849838257, 0.6463905572891235, 0.7114477753639221, 0.5811389088630676, 0.6101298928260803, 0.6450902223587036, 0.7048050761222839, 0.6551727056503296, 0.5894258618354797]","[0.722, 0.6263333333333333, 0.7443333333333333, 0.6563333333333333, 0.741, 0.7493333333333333, 0.736, 0.6636666666666666, 0.6933333333333334, 0.6966666666666667]","[np.float64(0.7498390704393387), np.float64(0.890029736161232), np.float64(0.7480988478660584), np.float64(0.781231958270073), np.float64(0.6782358026504517), np.float64(0.6874765026569366), np.float64(0.7258701026439667), np.float64(0.7891651111841201), np.float64(0.7261286067962647), np.float64(0.677646958231926)]","[np.float64(0.6616066666666666), np.float64(0.5932633333333333), np.float64(0.6817133333333334), np.float64(0.60675), np.float64(0.7023999999999998), np.float64(0.7169300000000001), np.float64(0.6733133333333333), np.float64(0.63159), np.float64(0.6571233333333335), np.float64(0.66229)]"
16,0.08,"[0.7918536067008972, 0.7112114429473877, 0.7610008716583252, 0.7200294733047485, 0.6809418201446533, 0.6954784393310547, 0.5864039063453674, 0.8558389544487, 0.6843711733818054, 0.7993956804275513]","[0.6066666666666667, 0.6663333333333333, 0.6263333333333333, 0.6806666666666666, 0.6693333333333333, 0.653, 0.7446666666666667, 0.568, 0.7046666666666667, 0.6573333333333333]","[np.float64(0.9251096248626709), np.float64(0.8980077910423279), np.float64(0.9133858221769333), np.float64(0.9126744449138642), np.float64(0.8966625410318375), np.float64(0.9093973660469055), np.float64(0.8589427709579468), np.float64(0.9587257081270217), np.float64(0.8586976873874664), np.float64(0.9122095501422882)]","[np.float64(0.5468500000000001), np.float64(0.5763833333333335), np.float64(0.57204), np.float64(0.5878), np.float64(0.5927933333333334), np.float64(0.5680233333333333), np.float64(0.6368733333333334), np.float64(0.5301199999999999), np.float64(0.6145399999999999), np.float64(0.55441)]"
16,0.12,"[0.9114198684692383, 0.8835766315460205, 0.8565029501914978, 0.8960561752319336, 0.906862199306488, 0.9229139089584351, 0.9392303824424744, 1.0305825471878052, 0.8443750143051147, 0.8758406043052673]","[0.53, 0.538, 0.5186666666666667, 0.524, 0.5446666666666666, 0.44133333333333336, 0.5223333333333333, 0.4613333333333333, 0.6433333333333333, 0.5776666666666667]","[np.float64(1.081104815006256), np.float64(1.0408451914787293), np.float64(1.138278433084488), np.float64(1.0797092056274413), np.float64(1.067824741601944), np.float64(0.9996271365880967), np.float64(1.0461445891857146), np.float64(1.0450293922424316), np.float64(1.0611731398105622), np.float64(1.1120096671581268)]","[np.float64(0.45330666666666664), np.float64(0.47691999999999996), np.float64(0.4581566666666667), np.float64(0.47857666666666665), np.float64(0.48991000000000007), np.float64(0.42825), np.float64(0.45476), np.float64(0.42925333333333326), np.float64(0.5048900000000001), np.float64(0.5093833333333333)]"
