num_tiles,noise,losses,accuracies
1,0.0,"[0.33041951060295105, 0.6936761140823364, 0.34168174862861633, 0.3367782235145569, 0.4225500822067261, 0.4129190146923065, 0.3203335106372833, 0.35535290837287903, 0.33985352516174316, 0.37109261751174927]","[0.887, 0.7153333333333334, 0.877, 0.8696666666666667, 0.8106666666666666, 0.825, 0.876, 0.8716666666666667, 0.8833333333333333, 0.8706666666666667]"
1,0.02,"[0.3559197187423706, 0.3331115245819092, 0.329363614320755, 0.3158642053604126, 0.3229532539844513, 0.3699987530708313, 0.3473326861858368, 0.43869033455848694, 0.4127092957496643, 0.4207780063152313]","[0.8643333333333333, 0.877, 0.8736666666666667, 0.8823333333333333, 0.8913333333333333, 0.8543333333333333, 0.8673333333333333, 0.798, 0.8363333333333334, 0.8243333333333334]"
1,0.04,"[0.3404509425163269, 0.34388118982315063, 0.37444624304771423, 0.3468260169029236, 0.37053608894348145, 0.37801051139831543, 0.33597856760025024, 0.36444684863090515, 0.3615116775035858, 0.5499623417854309]","[0.863, 0.8673333333333333, 0.854, 0.8763333333333333, 0.8453333333333334, 0.8613333333333333, 0.871, 0.8553333333333333, 0.846, 0.7656666666666667]"
1,0.06,"[0.42376604676246643, 0.3956799805164337, 0.47958919405937195, 0.481230229139328, 0.37740668654441833, 0.5596461296081543, 0.423147052526474, 0.3993326723575592, 0.3853549659252167, 0.3821796774864197]","[0.8163333333333334, 0.828, 0.8036666666666666, 0.8026666666666666, 0.858, 0.7516666666666667, 0.808, 0.825, 0.8343333333333334, 0.861]"
1,0.08,"[0.40042752027511597, 0.44445177912712097, 0.44345706701278687, 0.40902742743492126, 0.40198108553886414, 0.4302443861961365, 0.393473744392395, 0.4253505766391754, 0.4351351261138916, 0.40390652418136597]","[0.8193333333333334, 0.7893333333333333, 0.8063333333333333, 0.8286666666666667, 0.833, 0.82, 0.83, 0.8266666666666667, 0.8186666666666667, 0.8486666666666667]"
1,0.1,"[0.45563068985939026, nan, 0.5074490308761597, 0.5810685753822327, 0.4810350239276886, 0.4555973410606384, 0.48190584778785706, 0.45806893706321716, 0.5400516986846924, 0.45258963108062744]","[0.8073333333333333, 0.3333333333333333, 0.7826666666666666, 0.7746666666666666, 0.7716666666666666, 0.807, 0.7796666666666666, 0.8043333333333333, 0.748, 0.82]"
4,0.0,"[0.3785891830921173, 0.38921329379081726, 0.4077034592628479, 0.3713865876197815, 0.38964733481407166, 0.4082092344760895, 0.3588181138038635, 0.3755851984024048, 0.38751021027565, 0.4557279348373413]","[0.8716666666666667, 0.8453333333333334, 0.835, 0.857, 0.8633333333333333, 0.8416666666666667, 0.863, 0.859, 0.8643333333333333, 0.8193333333333334]"
4,0.02,"[0.3691085875034332, 0.36354586482048035, 0.3900849521160126, 0.397775799036026, 0.372378408908844, 0.37593916058540344, 0.4232180118560791, 0.36288541555404663, 0.3738415539264679, 0.4074462354183197]","[0.851, 0.8773333333333333, 0.8616666666666667, 0.8483333333333334, 0.8673333333333333, 0.8663333333333333, 0.8516666666666667, 0.8693333333333333, 0.8533333333333334, 0.839]"
4,0.04,"[0.3751292824745178, 0.3803246319293976, 0.38709673285484314, 0.3941522538661957, 0.3818812668323517, 0.36157315969467163, 0.3733195662498474, 0.4094046354293823, 0.4238308072090149, 0.38970983028411865]","[0.873, 0.8596666666666667, 0.8423333333333334, 0.8296666666666667, 0.8506666666666667, 0.86, 0.8606666666666667, 0.839, 0.8063333333333333, 0.854]"
4,0.06,"[0.4088589549064636, 0.429839551448822, 0.3994789123535156, 0.399265855550766, 0.4471384286880493, 0.41030046343803406, 0.38951197266578674, 0.40647655725479126, 0.40746527910232544, 0.41813594102859497]","[0.833, 0.8296666666666667, 0.853, 0.854, 0.8186666666666667, 0.829, 0.8496666666666667, 0.822, 0.8553333333333333, 0.8526666666666667]"
4,0.08,"[0.42681726813316345, 0.42601123452186584, 0.43959784507751465, 0.45075511932373047, 0.4311641752719879, 0.5757290124893188, 0.43828731775283813, 0.46853235363960266, 0.4409814178943634, 0.4425661265850067]","[0.816, 0.83, 0.814, 0.8113333333333334, 0.8236666666666667, 0.7313333333333333, 0.8443333333333334, 0.784, 0.7996666666666666, 0.8043333333333333]"
4,0.1,"[0.46672356128692627, 0.4714341163635254, 0.4794731140136719, 0.4666668176651001, 0.5101972818374634, 0.5028300285339355, 0.47245198488235474, 0.473551481962204, 0.5222410559654236, 0.4903748631477356]","[0.8016666666666666, 0.8193333333333334, 0.773, 0.8166666666666667, 0.7843333333333333, 0.793, 0.801, 0.797, 0.7346666666666667, 0.7826666666666666]"
