num_tiles,noise,losses,accuracies
1,0.0,"[0.5737252485752106, 0.8320066475868225, 0.4496495741605759, 0.5135630762577057, 0.5414973396062851, 0.44405456244945524, 0.5634738647937775, 0.47484595596790313, 0.5197777819633483, 0.4704189872741699]","[0.7804666666666666, 0.6829666666666667, 0.8305666666666667, 0.7995733333333332, 0.7801933333333334, 0.8196666666666667, 0.7686466666666668, 0.81086, 0.7875533333333332, 0.8119466666666668]"
1,0.02,"[0.9543711066246032, 0.5305725234746933, 0.5503767400979995, 0.5113177645206451, 0.5909270012378692, 0.6919733989238739, 0.46111959099769595, 1.6873184418678284, 1.8161026096343995, 0.8627893507480622]","[0.6436866666666665, 0.7910733333333334, 0.7764800000000001, 0.7915000000000001, 0.7710933333333334, 0.7278733333333334, 0.8162733333333334, 0.5892999999999999, 0.5864533333333334, 0.6844466666666666]"
1,0.04,"[0.6868103897571564, 0.9005966925621033, 0.5585518765449524, 0.7222421383857727, 0.7077293908596038, 1.0194511759281157, 0.5410222882032394, 1.038236163854599, 0.653824737071991, 1.7633761501312255]","[0.7315733333333333, 0.68818, 0.7781066666666666, 0.7181066666666667, 0.7264533333333334, 0.6660733333333334, 0.7866066666666669, 0.6648533333333333, 0.7430199999999999, 0.5874533333333333]"
1,0.06,"[0.7111958718299866, 0.6464821553230286, 0.9128784716129303, 0.8311204755306244, 0.7587404608726501, 1.5593176579475403, 0.7924497437477112, 0.6430397653579711, 1.2871169710159303, 0.8159283983707428]","[0.7277666666666666, 0.7538133333333333, 0.6878, 0.6903266666666668, 0.7178733333333334, 0.6148866666666666, 0.7089200000000001, 0.7591999999999999, 0.6288933333333333, 0.6929933333333334]"
1,0.08,"[0.8477742171287537, 1.244611325263977, 0.7888609659671784, 1.6810861206054688, 0.9684689116477966, 0.8387363564968109, 1.0059905779361724, 0.8093095886707306, 5.129233016967773, 0.9496554827690125]","[0.6927666666666665, 0.6312266666666667, 0.69432, 0.6030333333333333, 0.6656933333333334, 0.6881666666666666, 0.6652666666666666, 0.7086133333333333, 0.50194, 0.6704466666666665]"
1,0.1,"[0.9929284763336181, 1.2073803234100342, 1.4029330444335937, 1.1575042414665222, 2.9710394239425657, 0.9832851874828339, 1.0838070631027221, 1.4211807250976562, 0.8846218454837799, 0.9748342370986939]","[0.6541, 0.6300466666666666, 0.61426, 0.63802, 0.5435333333333334, 0.655, 0.6472933333333333, 0.6094866666666667, 0.6838466666666666, 0.6480799999999999]"
4,0.0,"[0.4725539016723633, 0.5983019721508026, 0.4712802720069885, 0.4368735694885254, 0.44068107843399046, 0.46741455018520356, 0.43346414268016814, 0.46026144742965697, 0.4978456676006317, 0.46604889690876006]","[0.8135666666666667, 0.7372666666666666, 0.8100666666666666, 0.8264333333333334, 0.8205333333333332, 0.8168333333333332, 0.8259266666666666, 0.8237866666666668, 0.8034866666666667, 0.8198133333333333]"
4,0.02,"[0.4592327690124512, 0.592939840555191, 0.5000378680229187, 0.5903319609165192, 0.452497826218605, 0.5603376865386963, 0.4841300970315933, 0.49863226532936095, 0.5046370822191238, 0.5153152740001679]","[0.8177533333333333, 0.7511866666666666, 0.7955133333333333, 0.7559066666666667, 0.8277733333333334, 0.7650933333333333, 0.8109533333333333, 0.79172, 0.7967733333333333, 0.7990666666666665]"
4,0.04,"[0.5363075280189514, 0.6550016677379609, 0.6593469679355621, 0.9276923334598541, 0.5310169810056686, 0.7300970017910003, 0.5873896551132202, 0.5778005027770996, 0.60950563788414, 0.7692052817344666]","[0.7858266666666668, 0.7478133333333332, 0.73154, 0.6755599999999999, 0.7914000000000001, 0.7095199999999998, 0.7615333333333332, 0.7699400000000002, 0.7529999999999998, 0.6922466666666668]"
4,0.06,"[0.8314218389987945, 0.672946640253067, 0.6534793889522552, 0.668800357580185, 0.6576514708995819, 0.6620448577404022, 0.6915052020549775, 0.6463667929172516, 0.6523031723499298, 0.8940701723098755]","[0.6814266666666667, 0.7255066666666667, 0.73736, 0.7375333333333333, 0.7395200000000002, 0.7351400000000001, 0.7240066666666667, 0.7383533333333334, 0.7457933333333334, 0.6773066666666666]"
4,0.08,"[2.0479311418533324, 0.8354430544376373, 0.7996461904048919, 0.7952221667766571, 0.7853337347507476, 0.7606602573394775, 0.7985016167163849, 0.8133475983142853, 0.8364776504039765, 0.745836055278778]","[0.5618266666666666, 0.67648, 0.6963266666666668, 0.6952666666666667, 0.6989533333333333, 0.7039533333333332, 0.6892866666666667, 0.7027999999999999, 0.6859066666666668, 0.6993333333333334]"
4,0.1,"[0.8469672727584839, 0.9710853695869446, 0.9290782392024994, 1.0047504150867461, 0.9112085318565368, 0.9567114293575287, 1.070668991804123, 0.9684169435501099, 0.9178433144092559, 0.9229735660552979]","[0.6709533333333333, 0.6552066666666667, 0.6549066666666665, 0.6518466666666667, 0.6609333333333334, 0.6679333333333335, 0.63016, 0.6483599999999999, 0.6572666666666666, 0.6620733333333333]"
16,0.0,"[0.4790987777709961, 0.4534753340482712, 0.4756282436847687, 0.46725727021694186, 0.48283497989177704, 0.4750871753692627, 0.4703561067581177, 0.44014907896518707, 0.4536354279518127, 0.48193502485752104]","[0.8037199999999999, 0.8197866666666667, 0.8154066666666666, 0.8197666666666668, 0.8097333333333332, 0.8079199999999999, 0.8214066666666666, 0.82352, 0.8196133333333333, 0.8095733333333334]"
16,0.02,"[0.46661689281463625, 0.49648537814617155, 0.4960619801282883, 0.5392227905988694, 0.47656687557697297, 0.5303375011682511, 0.4732031798362732, 0.46559991061687467, 0.49661951899528506, 0.49026313722133635]","[0.8143466666666669, 0.8038066666666666, 0.8120999999999999, 0.7747866666666668, 0.8020666666666666, 0.7775333333333333, 0.8022066666666666, 0.8168666666666665, 0.7998733333333332, 0.81014]"
16,0.04,"[0.5483003771305084, 0.5737695205211639, 0.5150321841239929, 0.5577182173728943, 0.5479792213439941, 0.5452698361873627, 0.550713620185852, 0.5452357244491577, 0.600526032447815, 0.5475127059221268]","[0.7801133333333334, 0.76798, 0.79372, 0.7689333333333334, 0.7772066666666667, 0.77992, 0.78374, 0.7701666666666667, 0.75264, 0.7795133333333333]"
16,0.06,"[0.6166414904594422, 0.6662799215316773, 0.6463398134708405, 0.722948145866394, 0.6101968991756439, 0.6364306771755218, 0.5945720851421357, 0.6335423707962036, 0.681934894323349, 0.6801219165325165]","[0.7527866666666665, 0.7141066666666667, 0.7442000000000002, 0.7085133333333333, 0.75082, 0.7320133333333334, 0.7503800000000002, 0.7427133333333333, 0.7250533333333334, 0.71774]"
16,0.08,"[0.7203731489181519, 0.8062953114509582, 0.7468656468391418, 0.7363345301151276, 0.8127350568771362, 0.7366940879821777, 0.7625397634506226, 0.7642978823184967, 0.766119509935379, 0.786292028427124]","[0.7039200000000001, 0.6831066666666666, 0.6973733333333334, 0.71324, 0.6913933333333335, 0.6981, 0.6964266666666667, 0.7086133333333335, 0.6957333333333332, 0.6917200000000001]"
