num_tiles,noise,digital_losses,digital_accuracies,analog_losses,analog_accuracies
1,0.0,"[0.3976667523384094, 0.3769376575946808, 0.38640379905700684, 0.3318563401699066, 0.33593621850013733, 0.33297494053840637, 0.3504939079284668, 0.3650708794593811, 0.3263358473777771, 0.3232511281967163]","[0.827, 0.8496666666666667, 0.8176666666666667, 0.8716666666666667, 0.8763333333333333, 0.8736666666666667, 0.8583333333333333, 0.852, 0.8816666666666667, 0.8766666666666667]","[0.7234503281116486, 0.6768452829122543, 0.5142182916402817, 0.49529117465019223, 0.46839207500219343, 0.45114397346973417, 0.4977626746892929, 0.45521401673555373, 0.5264986765384674, 0.44687996953725817]","[0.7372699999999999, 0.76145, 0.7906733333333332, 0.8079566666666667, 0.8258199999999999, 0.8238866666666665, 0.7875, 0.8264466666666666, 0.7831833333333335, 0.82637]"
1,0.05,"[0.41141390800476074, 0.41374218463897705, 0.369717538356781, 0.43157994747161865, 0.35690566897392273, 0.3797071874141693, 0.5694747567176819, 0.370465487241745, 0.3650209903717041, 0.3474454879760742]","[0.8376666666666667, 0.8133333333333334, 0.8646666666666667, 0.8113333333333334, 0.8686666666666667, 0.854, 0.7606666666666667, 0.8556666666666667, 0.849, 0.8666666666666667]","[1.0067945152521134, 1.120697671175003, 0.8909168815612794, 1.0155926859378814, 0.606328267455101, 1.065570285320282, 2.792210807800293, 0.6070022213459015, 0.7624596071243286, 0.6795452886819839]","[0.6680866666666667, 0.6452133333333333, 0.6854933333333332, 0.6640033333333332, 0.76536, 0.6527166666666667, 0.5517366666666667, 0.7602399999999999, 0.7184599999999999, 0.7470166666666667]"
1,0.1,"[0.4545570909976959, 0.44886070489883423, nan, 0.44726553559303284, nan, 0.45730850100517273, 0.4375212788581848, 0.5643892288208008, 0.4408661425113678, nan]","[0.819, 0.8283333333333334, 0.3333333333333333, 0.807, 0.3333333333333333, 0.8046666666666666, 0.8056666666666666, 0.7676666666666667, 0.8086666666666666, 0.3333333333333333]","[0.954873383641243, 1.141300916671753, nan, 1.0719434642791748, nan, 0.8746809583902359, 0.8795972859859467, 2.867577772140503, 0.9798790770769119, nan]","[0.6611866666666666, 0.6448633333333333, 0.3333333333333334, 0.65125, 0.3333333333333334, 0.6713199999999999, 0.6796833333333332, 0.55333, 0.6561100000000001, 0.3333333333333334]"
1,0.15,"[nan, nan, nan, nan, nan, nan, nan, 0.6239950656890869, 0.6003061532974243, nan]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.7096666666666667, 0.7246666666666667, 0.3333333333333333]","[nan, nan, nan, nan, nan, nan, nan, 1.2302244317531585, 1.170410338640213, nan]","[0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.56498, 0.5950133333333334, 0.3333333333333334]"
1,0.2,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334]"
4,0.0,"[0.3790745735168457, 0.4435677230358124, 0.36457476019859314, 0.37120911478996277, 0.34360384941101074, 0.3640649914741516, 0.3794013261795044, 0.3805564343929291, 0.36541852355003357, 0.381617933511734]","[0.8486666666666667, 0.8026666666666666, 0.8723333333333333, 0.8563333333333333, 0.8726666666666667, 0.8593333333333333, 0.8746666666666667, 0.864, 0.8606666666666667, 0.8593333333333333]","[0.4496546584367752, 0.5912248283624649, 0.43448521822690966, 0.4599071878194809, 0.4193903172016144, 0.44755630403757096, 0.46117665886878967, 0.4936892452836037, 0.44919934421777724, 0.5464265936613083]","[0.8066466666666666, 0.7622766666666665, 0.8400866666666666, 0.8173566666666668, 0.82349, 0.8118566666666668, 0.8288833333333332, 0.7868999999999999, 0.82109, 0.77048]"
4,0.05,"[0.40592896938323975, 0.37617334723472595, 0.46992984414100647, 0.3873445987701416, 0.4031689465045929, 0.4040016233921051, 0.3960173726081848, 0.3778596520423889, 0.38707709312438965, 0.3954569399356842]","[0.849, 0.852, 0.7713333333333333, 0.8506666666666667, 0.846, 0.8356666666666667, 0.85, 0.8613333333333333, 0.8493333333333334, 0.848]","[1.105015935897827, 0.5913594800233841, 0.6906110173463822, 0.6266958600282669, 0.6565286475419998, 0.700345265865326, 0.7242457950115204, 0.5591091179847717, 0.5859347295761108, 0.6674620807170868]","[0.6369866666666667, 0.7600133333333333, 0.7142566666666668, 0.7577766666666668, 0.7289366666666668, 0.7239433333333332, 0.7127133333333333, 0.7780566666666666, 0.7685233333333333, 0.7263033333333334]"
4,0.1,"[0.45807084441185, 0.48844751715660095, 0.48617586493492126, 0.4709564745426178, 0.48879098892211914, 0.45547938346862793, nan, 0.5139330625534058, 0.4404813349246979, nan]","[0.805, 0.7616666666666667, 0.7786666666666666, 0.8016666666666666, 0.7836666666666666, 0.7903333333333333, 0.3333333333333333, 0.7743333333333333, 0.814, 0.3333333333333333]","[1.0147316938638686, 0.9782389783859253, 1.0187688040733338, 0.8584710139036179, 1.093454623222351, 0.8607591950893402, nan, 1.1477287220954895, 1.2474474668502809, nan]","[0.64208, 0.63784, 0.6384366666666667, 0.6798800000000002, 0.6419566666666667, 0.6704133333333333, 0.3333333333333334, 0.6404933333333334, 0.62586, 0.3333333333333334]"
4,0.15,"[nan, 0.6210606098175049, nan, 0.6472903490066528, nan, 0.5988706350326538, nan, 0.5478124022483826, nan, nan]","[0.3333333333333333, 0.7553333333333333, 0.3333333333333333, 0.7063333333333334, 0.3333333333333333, 0.713, 0.3333333333333333, 0.7796666666666666, 0.3333333333333333, 0.3333333333333333]","[nan, 1.5651743996143341, nan, 1.3330713737010955, nan, 1.1960013270378114, nan, 1.7225892269611358, nan, nan]","[0.3333333333333334, 0.5685366666666666, 0.3333333333333334, 0.5816699999999999, 0.3333333333333334, 0.5825299999999999, 0.3333333333333334, 0.5670200000000001, 0.3333333333333334, 0.3333333333333334]"
4,0.2,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334]"
