batch_size,noise,losses,accuracies
16,0.0,"[0.425392142534256, 0.41332325160503386, 0.4061985045671463, 0.39675873339176176, 0.3764266729354858]","[0.81598, 0.8275133333333332, 0.8276399999999999, 0.8370799999999999, 0.8496600000000001]"
16,0.02,"[0.4072455525398254, 0.4196893101930618, 3.8348211288452148, 0.8464233028888702, 0.6085271298885345]","[0.8390333333333334, 0.8304066666666666, 0.54786, 0.7059799999999998, 0.7490866666666666]"
16,0.04,"[0.5134557437896728, 0.7815975999832153, 0.4660788941383362, 0.4575393772125244, 1.5607938003540038]","[0.7895599999999999, 0.7144733333333333, 0.8104799999999999, 0.8186399999999999, 0.6431533333333332]"
16,0.06,"[0.5895947015285492, 0.777623280286789, 0.5820058965682984, 0.570859854221344, 1.47086905002594]","[0.7611333333333331, 0.70512, 0.7625333333333333, 0.7595933333333333, 0.6413533333333333]"
16,0.08,"[0.7129647672176361, nan, 3.1861502361297607, 0.6734858131408692, nan]","[0.7102333333333334, 0.48772666666666664, 0.5684533333333333, 0.7176066666666668, 0.5099]"
16,0.1,"[1.131179986000061, nan, 1.4213391256332397, 0.79800954580307, nan]","[0.6450733333333332, 0.5253733333333332, 0.6171399999999999, 0.6575133333333334, 0.47552]"
32,0.0,"[0.7995493197441101, 0.38534393310546877, 0.7341725397109985, 0.38456747472286223, 1.2201296722888946]","[0.7065733333333334, 0.8413399999999999, 0.7150066666666668, 0.8425066666666667, 0.64536]"
32,0.02,"[0.4606752771139145, 0.38514403462409974, 0.4660925215482712, 0.39556699931621553, 0.4005426228046417]","[0.8085333333333332, 0.8463266666666667, 0.8118533333333333, 0.8420333333333333, 0.8385466666666666]"
32,0.04,"[0.5529273867607116, 0.4657712244987488, 0.777755252122879, 3.4030562019348145, 0.5137845015525818]","[0.7746533333333333, 0.8094799999999998, 0.7166866666666667, 0.5580733333333333, 0.7850000000000001]"
32,0.06,"[0.6005026233196259, 0.6129683840274811, 0.6161377298831939, 0.5664434027671814, 0.6449576270580292]","[0.7572266666666667, 0.7546533333333333, 0.7536533333333333, 0.7650133333333333, 0.7402266666666667]"
32,0.08,"[nan, nan, 0.7539231133460998, 0.6763510799407959, 0.7094102358818054]","[0.5512666666666667, 0.5070933333333333, 0.7097733333333335, 0.7133799999999999, 0.7135000000000001]"
32,0.1,"[1.7199745106697082, 0.8676502430438995, 0.9154294776916504, 0.795656886100769, nan]","[0.5945999999999999, 0.6697200000000001, 0.6663933333333334, 0.6772733333333332, 0.5196000000000001]"
64,0.0,"[0.3942735868692398, 1.0336982059478759, 0.415269278883934, 1.0124100518226624, 0.396011209487915]","[0.8355066666666666, 0.6954799999999999, 0.8245133333333334, 0.7405533333333334, 0.8406266666666664]"
64,0.02,"[0.46817112863063814, 0.4544884651899338, 0.4169442892074585, 0.43013251543045045, 4.510858082771302]","[0.8095200000000001, 0.7984066666666668, 0.8211133333333333, 0.82306, 0.5441333333333334]"
64,0.04,"[0.5117111474275589, 0.49465331733226775, 0.4964907467365265, 1.5286186361312866, 0.4761111801862717]","[0.7891933333333333, 0.7916066666666666, 0.7849200000000001, 0.6492, 0.8014066666666666]"
64,0.06,"[0.607376834154129, 0.7531614458560943, 0.6327975499629974, 0.6651426327228546, 0.6235827136039734]","[0.7465400000000001, 0.7216400000000001, 0.7360333333333334, 0.7378333333333333, 0.75862]"
64,0.08,"[0.745603758096695, 3.2837249279022216, nan, 1.0701027762889863, 0.7467494058609009]","[0.6977599999999999, 0.5658133333333333, 0.5276266666666667, 0.6652133333333333, 0.70584]"
64,0.1,"[0.8974114263057709, nan, nan, 0.8664744138717652, nan]","[0.66964, 0.4752133333333333, 0.5017066666666666, 0.6627466666666666, 0.5215533333333333]"
128,0.0,"[1.169629418849945, 0.9702413260936738, 1.140314975976944, 1.044875448346138, 1.0381537944078445]","[0.6474266666666666, 0.7020399999999999, 0.6677866666666668, 0.7086866666666666, 0.70056]"
128,0.02,"[0.9795548725128174, 1.1882036101818085, 1.1469651454687118, 1.1371580004692077, 1.5688678455352782]","[0.6858066666666666, 0.6905733333333332, 0.6762733333333334, 0.6754133333333333, 0.6286533333333333]"
128,0.04,"[1.1740519499778748, 1.1811674988269807, 2.2060688996315, 1.0785257613658905, nan]","[0.6554866666666667, 0.6657666666666667, 0.6019466666666666, 0.6790399999999999, 0.51918]"
128,0.06,"[nan, 1.2110422539710999, 2.6895576333999633, nan, 1.3079136085510255]","[0.4943, 0.66176, 0.5649133333333333, 0.5397133333333334, 0.6521133333333333]"
128,0.08,"[1.359463461637497, 1.357590707540512, 1.323730034828186, nan, 2.939989504814148]","[0.6206, 0.58992, 0.6192333333333333, 0.4972866666666666, 0.5562933333333333]"
128,0.1,"[1.4644695043563842, 1.5360882771015167, 1.5777596282958983, 1.6579117929935456, nan]","[0.6013933333333332, 0.5671866666666667, 0.6058933333333333, 0.5612066666666666, 0.47597333333333336]"
256,0.0,"[3.270805892944336, nan, 3.345196146965027, 3.3729295217990876, 3.59796674489975]","[0.5281466666666667, 0.33333333333333326, 0.5540466666666667, 0.5289133333333332, 0.5259599999999999]"
256,0.02,"[nan, 3.780334451198578, 3.6933597707748413, 3.652743159532547, 3.553570054769516]","[0.4728666666666667, 0.5426466666666666, 0.5275333333333333, 0.5288933333333333, 0.5358799999999999]"
256,0.04,"[3.768288952112198, 3.561203715801239, nan, nan, 3.7455599451065065]","[0.5343466666666666, 0.5290066666666666, 0.49593333333333334, 0.48824, 0.52774]"
256,0.06,"[nan, nan, nan, nan, nan]","[0.46509999999999996, 0.4908866666666667, 0.42047333333333337, 0.50194, 0.47406666666666664]"
256,0.08,"[nan, nan, nan, nan, nan]","[0.44988000000000006, 0.45448, 0.44865333333333335, 0.50766, 0.4194866666666666]"
256,0.1,"[nan, nan, nan, nan, nan]","[0.4412866666666666, 0.4176533333333334, 0.4090466666666666, 0.4514666666666666, 0.4397466666666666]"
