batch_size,noise,losses,accuracies
16,0.0,"[np.float64(0.47589476764202115), np.float64(0.49844523787498474), np.float64(0.48196071267127993), np.float64(0.4827670878171921), np.float64(0.4513160294294357)]","[np.float64(0.8140666666666668), np.float64(0.80648), np.float64(0.8066866666666667), np.float64(0.8146400000000001), np.float64(0.8255933333333334)]"
16,0.02,"[np.float64(0.49607775986194613), np.float64(0.48242036759853363), np.float64(0.4739453786611557), np.float64(0.5053340584039688), np.float64(0.5004878902435302)]","[np.float64(0.80552), np.float64(0.8113200000000002), np.float64(0.8150999999999999), np.float64(0.8063866666666668), np.float64(0.8077066666666666)]"
16,0.04,"[np.float64(0.5500206220149993), np.float64(0.5285694825649262), np.float64(0.545966101884842), np.float64(0.5745613384246826), np.float64(0.6048679769039154)]","[np.float64(0.7721666666666667), np.float64(0.7813666666666665), np.float64(0.7812866666666666), np.float64(0.7627466666666668), np.float64(0.7524066666666669)]"
16,0.06,"[np.float64(0.6718691468238831), np.float64(0.6406022369861603), np.float64(0.6318263530731201), np.float64(0.6198199880123139), np.float64(0.6264994072914124)]","[np.float64(0.7321133333333333), np.float64(0.7296), np.float64(0.7431466666666666), np.float64(0.7465400000000001), np.float64(0.7388399999999998)]"
16,0.08,"[np.float64(0.7702339231967926), np.float64(0.7323120784759521), np.float64(0.7276421284675598), np.float64(0.7810675299167633), np.float64(0.7120094347000122)]","[np.float64(0.6955533333333332), np.float64(0.7009800000000002), np.float64(0.7056866666666667), np.float64(0.6960200000000001), np.float64(0.7160400000000001)]"
16,0.1,"[np.float64(0.8256267082691192), np.float64(0.8003003370761871), np.float64(0.8683274364471436), np.float64(nan), np.float64(0.8600293517112731)]","[np.float64(0.6640799999999999), np.float64(0.6762133333333334), np.float64(0.6616666666666667), np.float64(0.6360733333333333), np.float64(0.6651733333333334)]"
32,0.0,"[np.float64(0.49718569457530976), np.float64(0.47666187942028043), np.float64(0.4574415683746338), np.float64(0.4904463255405426), np.float64(0.47053325414657593)]","[np.float64(0.7944600000000002), np.float64(0.8070866666666666), np.float64(0.8126066666666667), np.float64(0.8126733333333332), np.float64(0.8076933333333334)]"
32,0.02,"[np.float64(0.48497967958450316), np.float64(0.48038488149642944), np.float64(0.4864007383584976), np.float64(0.4801361036300659), np.float64(0.5154768806695939)]","[np.float64(0.7977), np.float64(0.8069933333333335), np.float64(0.8043799999999999), np.float64(0.8060266666666667), np.float64(0.78336)]"
32,0.04,"[np.float64(0.5719187223911285), np.float64(0.5463348311185837), np.float64(0.5542880189418793), np.float64(0.530269473195076), np.float64(0.5370827138423919)]","[np.float64(0.7631866666666666), np.float64(0.7726333333333334), np.float64(0.7691199999999999), np.float64(0.7805733333333333), np.float64(0.7751333333333333)]"
32,0.06,"[np.float64(0.6173904764652253), np.float64(0.627224692106247), np.float64(0.6359425723552704), np.float64(0.6359088385105133), np.float64(0.6295862579345703)]","[np.float64(0.7369666666666668), np.float64(0.7434133333333334), np.float64(0.7372533333333332), np.float64(0.7380866666666667), np.float64(0.7475466666666667)]"
