num_tiles,noise,digital_losses,digital_accuracies,analog_losses,analog_accuracies
1,0.0,"[0.3389374315738678, 0.33424991369247437, 0.33018773794174194]","[0.8686666666666667, 0.8733333333333333, 0.878]","[0.44367062419652936, 0.5954393458366394, 0.48897737354040144]","[0.8326666666666666, 0.7676933333333334, 0.8039566666666669]"
1,0.03,"[0.28600776195526123, 0.34780851006507874, 0.3915269374847412]","[0.8896666666666667, 0.851, 0.8306666666666667]","[0.5164823731780053, 0.5566617980599403, 0.7093491423130035]","[0.8100433333333332, 0.7724433333333333, 0.7334366666666665]"
1,0.06,"[0.7121308445930481, 0.4836168587207794, 0.35047492384910583]","[0.7536666666666667, 0.8063333333333333, 0.865]","[3.5739242887496947, 1.5147422993183135, 0.6524175959825516]","[0.5463966666666666, 0.6352300000000001, 0.7518266666666666]"
1,0.09,"[0.42449140548706055, 0.3955029845237732, 0.5217089056968689]","[0.8196666666666667, 0.827, 0.7816666666666666]","[0.9539838564395905, 0.9288275104761123, 2.0557411909103394]","[0.6827166666666667, 0.6709233333333333, 0.5889500000000001]"
16,0.0,"[0.42786046862602234, 0.3278276026248932, 0.35010623931884766]","[0.818, 0.8826666666666667, 0.8783333333333333]","[0.5044997954368591, 0.4076255643367767, 0.4145175692439079]","[0.7950000000000002, 0.8504066666666665, 0.8424799999999999]"
16,0.03,"[0.3746296763420105, 0.37968680262565613, 0.3549636900424957]","[0.8466666666666667, 0.8596666666666667, 0.8703333333333333]","[0.5301374605298043, 0.5942075359821319, 0.49760740041732787]","[0.7887066666666666, 0.7626366666666666, 0.8047799999999999]"
16,0.06,"[0.4703959822654724, 0.383735716342926, 0.4186146557331085]","[0.7776666666666666, 0.849, 0.8346666666666667]","[0.7271468418836594, 0.5800536292791366, 0.6656822830438613]","[0.7043866666666666, 0.7763666666666666, 0.7481700000000001]"
16,0.09,"[0.46868816018104553, 0.46964403986930847, 0.4383566975593567]","[0.807, 0.8006666666666666, 0.8223333333333334]","[0.8351395052671432, 0.8010418838262559, 0.8021959871053695]","[0.70819, 0.68688, 0.7000799999999998]"
64,0.0,"[0.3656274676322937, 0.38383716344833374, 0.3689018189907074]","[0.8663333333333333, 0.8543333333333333, 0.8603333333333333]","[0.424872884452343, 0.45150150924921034, 0.42687049180269243]","[0.8380233333333333, 0.8192333333333331, 0.8358266666666667]"
64,0.03,"[0.43958863615989685, 0.38409125804901123, 0.37133753299713135]","[0.7913333333333333, 0.8563333333333333, 0.8513333333333334]","[0.5565463215112686, 0.5140582311153412, 0.4796462842822075]","[0.7550100000000001, 0.7959166666666667, 0.7981466666666668]"
64,0.06,"[0.4090382754802704, 0.473256915807724, 0.3936879336833954]","[0.8396666666666667, 0.7753333333333333, 0.858]","[0.6355044710636139, 0.6705670219659805, 0.6259209984540939]","[0.7401566666666668, 0.7204666666666668, 0.7524000000000001]"
64,0.09,"[0.4615292549133301, 0.4793033003807068, 0.49745509028434753]","[0.781, 0.8106666666666666, 0.757]","[0.7890050160884857, 0.8201543831825256, 0.859704430103302]","[0.6800866666666665, 0.6871133333333332, 0.6710299999999999]"
