num_tiles,noise,digital_losses,digital_accuracies,analog_losses,analog_accuracies
1,0.0,"[0.28144094347953796, 0.30687689781188965, 0.35601675510406494, 0.31058362126350403, 0.528618335723877, 0.28929129242897034, 0.42037197947502136, 0.5511133670806885, 0.3056604564189911, 0.5971667170524597]","[0.8973333333333333, 0.8906666666666667, 0.8336666666666667, 0.8836666666666667, 0.7703333333333333, 0.893, 0.824, 0.7593333333333333, 0.8833333333333333, 0.761]","[0.5143029689788818, 0.4470643678307533, 0.640502308011055, 0.5668501633405686, 0.8218030768632889, 0.44539726197719576, 0.6441880226135254, 1.1358703911304473, 0.5138230925798416, 1.2443025958538056]","[0.7988566666666668, 0.8290900000000001, 0.75276, 0.7955600000000002, 0.70173, 0.8385366666666667, 0.7746433333333332, 0.6693133333333333, 0.8045033333333333, 0.6711466666666667]"
1,0.04,"[0.6484981775283813, 0.3312987983226776, 0.3441389501094818, 0.765182375907898, 0.34660661220550537, 0.3070676624774933, 0.31993377208709717, 0.2980193495750427, 0.3243868350982666, 0.31038302183151245]","[0.7596666666666667, 0.869, 0.8683333333333333, 0.7493333333333333, 0.8643333333333333, 0.8723333333333333, 0.8773333333333333, 0.8903333333333333, 0.8776666666666667, 0.8863333333333333]","[2.239984183311462, 0.7616397297382355, 0.6281715548038482, 3.6647172164916992, 0.5923723089694977, 0.7394604885578155, 0.765915367603302, 0.5730056494474411, 0.8413427102565766, 0.554226991534233]","[0.5801700000000001, 0.7371366666666667, 0.7723666666666666, 0.5131600000000001, 0.7859066666666668, 0.74071, 0.7344199999999997, 0.7734833333333334, 0.7210833333333335, 0.8031366666666667]"
1,0.08,"[0.4156803786754608, nan, 1.0000591278076172, 0.436278373003006, nan, 0.40053093433380127, 0.39539188146591187, 0.44485464692115784, 0.38132861256599426, 0.36556902527809143]","[0.803, 0.3333333333333333, 0.7203333333333334, 0.8043333333333333, 0.3333333333333333, 0.8363333333333334, 0.828, 0.8263333333333334, 0.844, 0.8606666666666667]","[0.8099098348617554, nan, 4.959557738304138, 0.8100703924894332, nan, 0.9063370668888092, 0.8507012414932251, 1.9985852968692779, 0.8693570387363434, 0.7988640403747559]","[0.7018466666666666, 0.3333333333333334, 0.5156166666666667, 0.6882500000000001, 0.3333333333333334, 0.6997800000000002, 0.6947333333333334, 0.5794499999999999, 0.6989766666666668, 0.7228133333333333]"
1,0.12,"[nan, 0.5485265851020813, 0.6101359724998474, 0.526614785194397, 0.5350154638290405, 0.5117562413215637, 0.6613453030586243, 0.5215216279029846, 0.5848082900047302, 0.5539875626564026]","[0.3333333333333333, 0.7313333333333333, 0.7523333333333333, 0.7443333333333333, 0.7733333333333333, 0.789, 0.7246666666666667, 0.7473333333333333, 0.7543333333333333, 0.7493333333333333]","[nan, 1.0610366958379744, 2.900980727672577, 0.9346876382827759, 1.2541095232963562, 1.2504432570934296, 2.0191666615009307, 0.9631782019138336, 2.317593266963959, 1.1179885792732238]","[0.3333333333333334, 0.6332099999999999, 0.5513933333333333, 0.62761, 0.6190500000000001, 0.6179433333333333, 0.5765233333333334, 0.63054, 0.55749, 0.6326533333333334]"
1,0.16,"[0.6222617030143738, 0.7388363480567932, 0.5951813459396362, nan, nan, 0.6981319785118103, nan, nan, 0.7719731330871582, nan]","[0.6923333333333334, 0.6913333333333334, 0.7206666666666667, 0.3333333333333333, 0.3333333333333333, 0.6716666666666666, 0.3333333333333333, 0.3333333333333333, 0.5906666666666667, 0.3333333333333333]","[1.2462673020362853, 1.3384295523166656, 1.2438297593593597, nan, nan, 1.3420089960098267, nan, nan, 1.0695734494924545, nan]","[0.5680966666666666, 0.5775399999999999, 0.58542, 0.3333333333333334, 0.3333333333333334, 0.5510266666666667, 0.3333333333333334, 0.3333333333333334, 0.5191133333333334, 0.3333333333333334]"
1,0.2,"[nan, 0.8275874257087708, nan, nan, nan, 0.799371600151062, 0.9315751194953918, nan, nan, 0.8569518327713013]","[0.3333333333333333, 0.619, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6136666666666667, 0.5586666666666666, 0.3333333333333333, 0.3333333333333333, 0.652]","[nan, 1.3883917891979218, nan, nan, nan, 1.8123922860622406, 1.283907138109207, nan, nan, 1.6420676577091218]","[0.3333333333333334, 0.49707999999999997, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.5238566666666666, 0.4875466666666666, 0.3333333333333334, 0.3333333333333334, 0.5343066666666667]"
16,0.0,"[0.46783769130706787, 0.3537105321884155, 0.35162273049354553, 0.3658842444419861, 0.3709735572338104, 0.3631214499473572, 0.3292911946773529, 0.3405301570892334, 0.41817498207092285, 0.3559997081756592]","[0.7733333333333333, 0.8503333333333334, 0.8666666666666667, 0.8693333333333333, 0.8456666666666667, 0.8603333333333333, 0.8693333333333333, 0.8666666666666667, 0.8106666666666666, 0.8676666666666667]","[0.5252786922454834, 0.4317174842953682, 0.4263907930254936, 0.4583896592259407, 0.4298944967985153, 0.4444189563393593, 0.40516070038080215, 0.44490803241729737, 0.4777241429686546, 0.4453984013199806]","[0.7720666666666667, 0.8240933333333332, 0.8254533333333334, 0.8230099999999999, 0.8152166666666666, 0.8227033333333332, 0.8300033333333332, 0.8160333333333334, 0.8032400000000002, 0.8293199999999998]"
16,0.04,"[0.3729965388774872, 0.3755895495414734, 0.3668959140777588, 0.34908002614974976, 0.32734912633895874, 0.4016760289669037, 0.35315653681755066, 0.387102872133255, 0.35015222430229187, 0.37947171926498413]","[0.8446666666666667, 0.8513333333333334, 0.8486666666666667, 0.8613333333333333, 0.88, 0.839, 0.8703333333333333, 0.8413333333333334, 0.8713333333333333, 0.8546666666666667]","[0.6321725338697434, 0.5376118302345276, 0.5432418090105057, 0.5074131917953492, 0.49938302874565127, 0.6459845525026321, 0.5272514906525612, 0.5556938511133194, 0.5270579862594604, 0.5811116707324981]","[0.7499899999999999, 0.7933166666666668, 0.7937466666666668, 0.7968633333333334, 0.8174533333333334, 0.74873, 0.8054600000000001, 0.7747066666666669, 0.7954866666666667, 0.77725]"
16,0.08,"[0.4303138852119446, 0.4123145639896393, 0.4032427668571472, 0.4190131723880768, 0.4514589309692383, 0.43270260095596313, 0.4196128845214844, 0.43422040343284607, 0.42315495014190674, 0.41461339592933655]","[0.8363333333333334, 0.845, 0.85, 0.8216666666666667, 0.8123333333333334, 0.8096666666666666, 0.8346666666666667, 0.8173333333333334, 0.8316666666666667, 0.8206666666666667]","[0.7187535220384598, 0.7353079205751419, 0.7167176097631455, 0.8148450964689254, 0.7401246589422226, 0.8241542571783066, 0.6852764576673508, 0.8059254944324493, 0.7030102783441543, 0.7733252221345901]","[0.7204833333333334, 0.7204866666666667, 0.7231500000000001, 0.6958300000000002, 0.7069600000000001, 0.69739, 0.7315833333333334, 0.7029833333333333, 0.7230000000000003, 0.7029099999999999]"
16,0.12,"[0.5526993274688721, 0.5396767854690552, 0.5410985946655273, 0.5270093083381653, nan, nan, 0.533556342124939, 0.5294629335403442, 0.522982120513916, nan]","[0.749, 0.7626666666666667, 0.742, 0.7483333333333333, 0.3333333333333333, 0.3333333333333333, 0.7726666666666666, 0.7446666666666667, 0.775, 0.3333333333333333]","[0.9247874468564987, 1.0431126081943511, 1.0138054060935975, 1.1172024738788604, nan, nan, 1.150458312034607, 1.0027046912908555, 1.0565232944488525, nan]","[0.6367833333333334, 0.62556, 0.6292199999999999, 0.6229066666666666, 0.3333333333333334, 0.3333333333333334, 0.6193033333333333, 0.6399733333333333, 0.6179166666666667, 0.3333333333333334]"
