tiles,bl,fixed_energy,epoch_energy
1,2,457933087.96250004,792246342060.922
1,5,457933087.96250004,1184531591244.374
1,10,457933087.96250004,1533247379492.49
1,31,457933087.96250004,3499315142016.548
1,100,457933087.96250004,8557607447706.771
4,2,3014394536.245,1188050760782.4631
4,5,3014394536.245,1522495722437.6946
4,10,3014394536.245,2182145704511.773
4,31,3014394536.245,4426630538018.847
4,100,3014394536.245,10204040929622.889
8,2,6345365115.802501,1943216903399.8743
8,5,6345365115.802502,2039502978060.9172
8,10,6345365115.802502,2696064323885.3257
8,31,6345365115.802501,5045837039138.999
8,100,6345365115.802501,11850983298175.594
16,2,12968483314.630001,2707109253892.2593
16,5,12968483314.630001,2545062354242.921
16,10,12968483314.630001,3282261776722.521
16,31,12968483314.63,5770189400688.138
16,100,12968483314.630001,14158042866156.96
32,2,26654145483.265003,4326476584139.1294
32,5,26654145483.265003,3441105584618.1553
32,10,26654145483.265003,3671706382427.825
32,31,26654145483.265,7118307893872.15
32,100,26654145483.265,16139698249074.424
