tiles,bl,fixed_energy_analog,epoch_energy_analog,fixed_energy_digital,epoch_energy_digital,total_fixed_energy,total_epoch_energy,total_energy
1,2,459984100.6075001,792246342060.922,1231999214.66,1708597392879.292,1691983315.2675002,2500843734940.214,2502535718255.4814
1,5,459984100.6075001,1184531591244.374,1231999214.66,1133425993296.1638,1691983315.2675002,2317957584540.538,2319649567855.8057
1,10,459984100.6075001,1533247379492.49,1231999214.66,761256264154.14,1691983315.2675002,2294503643646.63,2296195626961.8975
1,31,459984100.6075,3396394108427.826,1231999214.66,558254593713.036,1691983315.2675002,3954648702140.8623,3956340685456.13
1,100,459984100.6075,8557607447706.771,1231999214.66,439836952622.392,1691983315.2675002,8997444400329.164,8999136383644.432
4,2,3006690387.6675,833226758385.0099,4088595845.17,1797537719114.272,7095286232.8375,2630764477499.2817,2637859763732.119
4,5,3006690387.6675,1097163320957.27,4088595845.17,1051389986651.744,7095286232.8375,2148553307609.0142,2155648593841.8516
4,10,3006690387.6675,1704438529804.2502,4088595845.17,847895150525.6,7095286232.8375,2552333680329.85,2559428966562.6875
4,31,3006690387.6675,3602817406862.975,4088595845.17,593526605367.9199,7095286232.8375,4196344012230.895,4203439298463.7324
4,100,3006690387.6675,8887194574094.295,4088595845.17,457863381283.824,7095286232.8375,9345057955378.12,9352153241610.957
8,2,6317978206.495,740054595560.686,7140585367.949999,1595151837813.568,13458563574.445,2335206433374.254,2348664996948.6987
8,5,6317978206.495,1168759285938.354,7140585367.949999,1120000226549.952,13458563574.445,2288759512488.3057,2302218076062.7505
8,10,6317978206.495,1807356287556.557,7140585367.949999,899394121320.416,13458563574.445,2706750408876.9727,2720208972451.4175
8,31,6317978206.495,3706197538657.284,7140585367.949999,610909214481.792,13458563574.445,4317106753139.076,4330565316713.521
8,100,6317978206.495,8558358796763.593,7140585367.949999,441212210459.072,13458563574.445,8999571007222.664,9013029570797.11
16,2,13090001407.455002,790594756153.7,13352581336.57,1703015129619.1997,26442582744.025,2493609885772.8994,2520052468516.9243
16,5,13090001407.455002,1170939023861.442,13352581336.57,1123989985548.672,26442582744.025,2294929009410.1143,2321371592154.139
16,10,13090001407.455002,1740838506438.3867,13352581336.57,868537716105.7919,26442582744.025,2609376222544.1787,2635818805288.2036
16,31,13090001407.455,3707386486615.332,13352581336.57,613085446662.9119,26442582744.025,4320471933278.244,4346914516022.269
16,100,13090001407.455,9217618826123.035,13352581336.57,476844236293.3759,26442582744.025,9694463062416.41,9720905645160.436
32,2,26366791115.292503,789228022361.427,25564440145.13,1697954255319.168,51931231260.4225,2487182277680.5947,2539113508941.017
32,5,26366791115.292503,1175298499707.618,25564440145.13,1131969503546.112,51931231260.4225,2307268003253.73,2359199234514.1523
32,10,26366791115.292503,1710007051293.65,25564440145.13,857552654201.6,51931231260.4225,2567559705495.25,2619490936755.6724
32,31,26366791115.292503,3915862403783.174,25564440145.13,651740017193.216,51931231260.4225,4567602420976.39,4619533652236.8125
32,100,26366791115.292503,9219468300724.443,25564440145.13,480229486352.896,51931231260.4225,9699697787077.34,9751629018337.762
