tiles,bl,fixed_energy,epoch_energy
1,2,1231999214.66,1708597392879.292
1,5,1231999214.66,1133425993296.1638
1,10,1231999214.66,761256264154.14
1,31,1231999214.66,558254593713.036
1,100,1231999214.66,439836952622.39197
4,2,4088595845.17,1797537719114.272
4,5,4088595845.17,1051389986651.7439
4,10,4088595845.17,847895150525.6
4,31,4088595845.17,593526605367.9199
4,100,4088595845.17,457863381283.824
8,2,7140585367.949999,1595151837813.5679
8,5,7140585367.949999,1120000226549.952
8,10,7140585367.949999,899394121320.416
8,31,7140585367.949999,610909214481.792
8,100,7140585367.949999,441212210459.07196
16,2,13352581336.57,1703015129619.1997
16,5,13352581336.57,1123989985548.6719
16,10,13352581336.57,868537716105.7919
16,31,13352581336.57,613085446662.9119
16,100,13352581336.57,476844236293.3759
32,2,25564440145.13,1697954255319.168
32,5,25564440145.13,1131969503546.112
32,10,25564440145.13,857552654201.6
32,31,25564440145.13,651740017193.216
32,100,25564440145.13,480229486352.896
