num_tiles,lr,bl,digital_accuracies
1,0.5,31,"[[0.2982, 0.7667, 0.8608, 0.8862, 0.906, 0.9176, 0.9291, 0.938, 0.9433, 0.9464, 0.9513, 0.9541, 0.957, 0.9602, 0.9622, 0.9644, 0.966, 0.9691, 0.9691, 0.9701]]"
1,0.1,31,"[[0.1256, 0.1135, 0.1448, 0.1135, 0.1375, 0.1275, 0.4268, 0.7467, 0.8437, 0.88, 0.8951, 0.9054, 0.9142, 0.9207, 0.929, 0.9329, 0.9362, 0.9435, 0.9454, 0.9501, 0.9523, 0.956, 0.9609, 0.9628, 0.964, 0.964, 0.9647, 0.9661, 0.9679, 0.9681, 0.9693, 0.9691, 0.9698, 0.9732]]"
1,0.05,31,"[[0.1133, 0.1014, 0.111, 0.1133, 0.1427, 0.3407, 0.5827, 0.7623, 0.8382, 0.8603, 0.8822, 0.8908, 0.8956, 0.9007, 0.9065, 0.9132, 0.9238, 0.9246, 0.932, 0.9374, 0.94, 0.9443, 0.9471, 0.9498, 0.9519, 0.9555, 0.9558, 0.9582, 0.9604, 0.9629, 0.9621, 0.9649, 0.9655, 0.9658, 0.9677, 0.9677, 0.9693, 0.9685, 0.9721]]"


8,0.5,2,"[[0.106, 0.2222, 0.4214, 0.5954, 0.7144, 0.7853, 0.827, 0.8508, 0.8666, 0.8783, 0.889, 0.8936, 0.8982, 0.9065, 0.91, 0.9135, 0.9168, 0.9203, 0.9241, 0.9264, 0.9306, 0.9327, 0.938, 0.9412, 0.9424, 0.9445, 0.9472, 0.9495, 0.953, 0.9552, 0.9557, 0.9574, 0.9601, 0.9616, 0.9626, 0.9638, 0.965, 0.9641, 0.9659, 0.9666, 0.9662, 0.9676, 0.9696, 0.9696, 0.9692, 0.9689, 0.9692, 0.9707]]"
8,0.5,5,"[[0.1135, 0.1135, 0.2648, 0.5206, 0.7227, 0.809, 0.8574, 0.8773, 0.8916, 0.8986, 0.9042, 0.9085, 0.9137, 0.9186, 0.9234, 0.9267, 0.9319, 0.9357, 0.9393, 0.9413, 0.9432, 0.947, 0.9495, 0.9516, 0.9554, 0.9559, 0.9595, 0.9617, 0.9629, 0.9655, 0.9664, 0.9669, 0.9683, 0.9691, 0.9688, 0.9698, 0.9707]]"
8,0.5,10,"[[0.1028, 0.1135, 0.3837, 0.7424, 0.8376, 0.8705, 0.8906, 0.9033, 0.9088, 0.9143, 0.9196, 0.9238, 0.9277, 0.9319, 0.9361, 0.9408, 0.9455, 0.9487, 0.9539, 0.9541, 0.9571, 0.9592, 0.9603, 0.9619, 0.965, 0.9649, 0.9668, 0.9689, 0.9698, 0.9709]]"
8,0.5,31,"[[0.1186, 0.4122, 0.7911, 0.8613, 0.8872, 0.9034, 0.9142, 0.9235, 0.9281, 0.9335, 0.9401, 0.9434, 0.9469, 0.9513, 0.9563, 0.9578, 0.9615, 0.9632, 0.9642, 0.9662, 0.967, 0.97]]"
8,0.5,100,"[[0.1373, 0.5871, 0.8474, 0.8944, 0.9128, 0.9195, 0.9306, 0.9368, 0.9441, 0.9483, 0.953, 0.957, 0.96, 0.9626, 0.9637, 0.9668, 0.97]]"

