bl,t_std,iters,iters_zero,std
1,0.0,51744.0,0,0.019961116835474968
1,0.0,22528.0,1000,0.021227069199085236
1,0.0,5864.0,2000,0.020150201395154
1,0.0,5488.0,3000,0.01723351888358593
1,0.0,6384.0,4000,0.017252884805202484
1,0.0,7056.0,5000,0.017750032246112823
1,0.0,8240.0,6000,0.017562931403517723
1,0.0,9200.0,7000,0.017558583989739418
1,0.0,10248.0,8000,0.017525063827633858
1,0.0,11152.0,9000,0.017512185499072075
1,0.0,12384.0,10000,0.01710338704288006
1,0.05,53976.0,0,0.020175933837890625
1,0.05,24304.0,1000,0.020774217322468758
1,0.05,13640.0,2000,0.021358389407396317
1,0.05,13736.0,3000,0.020996494218707085
1,0.05,14736.0,4000,0.0204340647906065
1,0.05,16096.0,5000,0.021035414189100266
1,0.05,17472.0,6000,0.020590459927916527
1,0.05,18520.0,7000,0.020060241222381592
1,0.05,19576.0,8000,0.019857341423630714
1,0.05,19480.0,9000,0.02168724313378334
1,0.05,20864.0,10000,0.021138515323400497
1,0.1,55104.0,0,0.020731478929519653
1,0.1,28976.0,1000,0.020197659730911255
1,0.1,22224.0,2000,0.020494431257247925
1,0.1,21944.0,3000,0.021651821210980415
1,0.1,23624.0,4000,0.020989499986171722
1,0.1,23696.0,5000,0.02107672393321991
1,0.1,25584.0,6000,0.020579539239406586
1,0.1,26448.0,7000,0.021048199385404587
1,0.1,27280.0,8000,0.021352170035243034
1,0.1,28112.0,9000,0.021362917497754097
1,0.1,29544.0,10000,0.021217089146375656
1,0.15,59256.0,0,0.022160474210977554
1,0.15,33792.0,1000,0.021510854363441467
1,0.15,30264.0,2000,0.02034960873425007
1,0.15,31768.0,3000,0.020066313445568085
1,0.15,31048.0,4000,0.0221575777977705
1,0.15,33104.0,5000,0.021295888349413872
1,0.15,32808.0,6000,0.022053983062505722
1,0.15,34992.0,7000,0.022170767188072205
1,0.15,34408.0,8000,0.021589217707514763
1,0.15,36384.0,9000,0.020998181775212288
1,0.15,36584.0,10000,0.021371830254793167
1,0.2,67256.0,0,0.021083399653434753
1,0.2,43968.0,1000,0.021106360480189323
1,0.2,41680.0,2000,0.02114664763212204
1,0.2,42016.0,3000,0.020546240732073784
1,0.2,40760.0,4000,0.021713949739933014
1,0.2,43672.0,5000,0.02152647264301777
1,0.2,46168.0,6000,0.02117861993610859
1,0.2,46696.0,7000,0.02133464626967907
1,0.2,42832.0,8000,0.022443674504756927
1,0.2,46472.0,9000,0.02155371382832527
1,0.2,50104.0,10000,0.020901735872030258
1,0.25,75408.0,0,0.022702153772115707
1,0.25,51816.0,1000,0.02191966027021408
1,0.25,49152.0,2000,0.0219814945012331
1,0.25,49256.0,3000,0.022959543392062187
1,0.25,48104.0,4000,0.022402599453926086
1,0.25,55504.0,5000,0.02173277549445629
1,0.25,55400.0,6000,0.021931083872914314
1,0.25,51176.0,7000,0.02222629263997078
1,0.25,55728.0,8000,0.02198837511241436
1,0.25,55904.0,9000,0.022029850631952286
1,0.25,57560.0,10000,0.021830208599567413
